"location","date","daily_average"
"New Caledonia",2019-12-01,2.60531558113899e-05
"New Zealand",2019-12-01,0.00309614720524602
"Nicaragua",2019-12-01,2.59302635669966e-05
"Niger",2019-12-01,1.3395254638875e-05
"Nigeria",2019-12-01,0.00344356358014602
"North Mariana Isl",2019-12-01,2.45784488786697e-07
"Norway",2019-12-01,0.0140290099432115
"Oman",2019-12-01,0.000918988203573461
"Pakistan",2019-12-01,0.00664613546903668
"Palau",2019-12-01,2.45784488786697e-07
"Panama",2019-12-01,0.000123383813370922
"Papua New Guinea",2019-12-01,4.91568977573394e-06
"Paraguay",2019-12-01,3.36724749637775e-05
"Peru",2019-12-01,0.000318782481956346
"Philippines",2019-12-01,0.00213439250062368
"Poland",2019-12-01,0.0437244460939315
"Portugal",2019-12-01,0.0261426213653083
"Puerto Rico",2019-12-01,0.00021284936728928
"Qatar",2019-12-01,0.00391264327699543
"Reunion",2019-12-01,1.74506987038555e-05
"Romania",2019-12-01,0.0165385924659681
"Russia",2019-12-01,0.00402029688308401
"Rwanda",2019-12-01,0.00019011430207651
"Samoa",2019-12-01,9.83137955146789e-07
"Sao Tome-Principe",2019-12-01,4.91568977573394e-06
"Saudi Arabia",2019-12-01,0.00521444082185417
"Senegal",2019-12-01,0.000176350370704455
"Serbia",2019-12-01,0.00140195472403932
"Seychelles",2019-12-01,0.000236444678212803
"Sierra Leone",2019-12-01,0.00013690196025419
"Singapore",2019-12-01,0.00467961377425432
"Slovakia",2019-12-01,0.00361893081289533
"Slovenia",2019-12-01,0.000914072513797727
"Solomon Islands",2019-12-01,2.45784488786697e-07
"Somalia",2019-12-01,0.000274909950707921
"South Africa",2019-12-01,0.00695938779999533
"South Sudan",2019-12-01,4.5470130425539e-05
"Spain",2019-12-01,0.135956427325828
"Sri Lanka",2019-12-01,0.00168915389918658
"St Barthelemy",2019-12-01,1.31494701500883e-05
"St Helena",2019-12-01,7.37353466360091e-07
"St Kitts-Nevis",2019-12-01,6.61160274836215e-05
"St Lucia",2019-12-01,0.00101533572317785
