"tmrca","model","id"
130,"truth",1
100,"truth",1
83,"truth",1
102,"truth",1
76,"truth",1
85,"truth",1
57,"truth",1
83,"truth",1
89,"truth",1
98,"truth",1
81,"truth",1
87,"truth",1
72,"truth",1
95,"truth",1
77,"truth",1
70,"truth",1
70,"truth",1
102,"truth",1
106,"truth",1
80,"truth",1
80,"truth",1
104,"truth",1
85,"truth",1
85,"truth",1
86,"truth",1
122,"truth",1
78,"truth",1
89,"truth",1
81,"truth",1
112,"truth",1
88,"truth",1
90,"truth",1
78,"truth",1
95,"truth",1
100,"truth",1
84,"truth",1
83,"truth",1
90,"truth",1
75,"truth",1
82,"truth",1
82,"truth",1
70,"truth",1
104,"truth",1
119,"truth",1
110,"truth",1
84,"truth",1
74,"truth",1
71,"truth",1
91,"truth",1
83,"truth",1
66,"truth",1
79,"truth",1
78,"truth",1
64,"truth",1
87,"truth",1
87,"truth",1
91,"truth",1
74,"truth",1
102,"truth",1
104,"truth",1
81,"simulation",2
102,"simulation",2
68,"simulation",2
105,"simulation",2
104,"simulation",2
70,"simulation",2
110,"simulation",2
56,"simulation",2
81,"simulation",2
89,"simulation",2
71,"simulation",2
100,"simulation",2
122,"simulation",2
91,"simulation",2
67,"simulation",2
87,"simulation",2
63,"simulation",2
76,"simulation",2
67,"simulation",2
122,"simulation",2
124,"simulation",2
80,"simulation",2
79,"simulation",2
61,"simulation",2
85,"simulation",2
72,"simulation",2
129,"simulation",2
78,"simulation",2
73,"simulation",2
66,"simulation",2
91,"simulation",2
84,"simulation",2
76,"simulation",2
83,"simulation",2
74,"simulation",2
93,"simulation",2
78,"simulation",2
68,"simulation",2
86,"simulation",2
88,"simulation",2
87,"simulation",2
84,"simulation",2
69,"simulation",2
71,"simulation",2
83,"simulation",2
74,"simulation",2
71,"simulation",2
82,"simulation",2
70,"simulation",2
81,"simulation",2
58,"simulation",2
92,"simulation",2
65,"simulation",2
101,"simulation",2
73,"simulation",2
79,"simulation",2
117,"simulation",2
98,"simulation",2
67,"simulation",2
67,"simulation",2
112,"simulation",2
97,"simulation",2
120,"simulation",2
82,"simulation",2
107,"simulation",2
72,"simulation",2
92,"simulation",2
90,"simulation",2
70,"simulation",2
68,"simulation",2
91,"simulation",2
64,"simulation",2
83,"simulation",2
69,"simulation",2
109,"simulation",2
135,"simulation",2
66,"simulation",2
76,"simulation",2
95,"simulation",2
77,"simulation",2
64,"simulation",2
59,"simulation",2
69,"simulation",2
77,"simulation",2
80,"simulation",2
83,"simulation",2
86,"simulation",2
109,"simulation",2
109,"simulation",2
94,"simulation",2
82,"simulation",2
74,"simulation",2
83,"simulation",2
80,"simulation",2
75,"simulation",2
106,"simulation",2
75,"simulation",2
93,"simulation",2
84,"simulation",2
89,"simulation",2
102,"simulation",2
78,"simulation",2
72,"simulation",2
74,"simulation",2
79,"simulation",2
108,"simulation",2
85,"simulation",2
59,"simulation",2
80,"simulation",2
62,"simulation",2
89,"simulation",2
84,"simulation",2
73,"simulation",2
72,"simulation",2
70,"simulation",2
73,"simulation",2
73,"simulation",2
78,"simulation",2
78,"simulation",2
73,"simulation",2
114,"simulation",2
72,"simulation",2
80,"simulation",2
63,"simulation",2
75,"simulation",2
62,"simulation",2
123,"simulation",2
81,"simulation",2
104,"simulation",2
90,"simulation",2
66,"simulation",2
78,"simulation",2
82,"simulation",2
87,"simulation",2
60,"simulation",2
172,"simulation",2
69,"simulation",2
56,"simulation",2
75,"simulation",2
93,"simulation",2
90,"simulation",2
72,"simulation",2
80,"simulation",2
80,"simulation",2
92,"simulation",2
120,"simulation",2
88,"simulation",2
72,"simulation",2
99,"simulation",2
84,"simulation",2
73,"simulation",2
108,"simulation",2
63,"simulation",2
87,"simulation",2
94,"simulation",2
77,"simulation",2
114,"simulation",2
74,"simulation",2
68,"simulation",2
64,"simulation",2
76,"simulation",2
127,"simulation",2
67,"simulation",2
89,"simulation",2
124,"simulation",2
66,"simulation",2
94,"simulation",2
73,"simulation",2
65,"simulation",2
101,"simulation",2
106,"simulation",2
106,"simulation",2
91,"simulation",2
90,"simulation",2
67,"simulation",2
64,"simulation",2
82,"simulation",2
77,"simulation",2
85,"simulation",2
72,"simulation",2
75,"simulation",2
99,"simulation",2
80,"simulation",2
66,"simulation",2
97,"simulation",2
111,"simulation",2
71,"simulation",2
67,"simulation",2
63,"simulation",2
73,"simulation",2
73,"simulation",2
94,"simulation",2
76,"simulation",2
89,"simulation",2
68,"simulation",2
81,"simulation",2
75,"simulation",2
72,"simulation",2
97,"simulation",2
77,"simulation",2
70,"simulation",2
65,"simulation",2
81,"simulation",2
69,"simulation",2
120,"simulation",2
70,"simulation",2
90,"simulation",2
84,"simulation",2
88,"simulation",2
90,"simulation",2
78,"simulation",2
