"location","date","daily_average"
"Netherlands",2020-01-11,1570.9677419355
"Belgium",2020-01-11,3854.3225806452
"France",2020-01-12,24686.1290322581
"Ireland",2020-01-12,2548.3870967742
"Netherlands",2020-01-12,1570.9677419355
"Belgium",2020-01-12,3854.3225806452
"France",2020-01-13,24686.1290322581
"Ireland",2020-01-13,2548.3870967742
"Netherlands",2020-01-13,1570.9677419355
"Belgium",2020-01-13,3854.3225806452
"France",2020-01-14,24686.1290322581
"Ireland",2020-01-14,2548.3870967742
"Netherlands",2020-01-14,1570.9677419355
"Belgium",2020-01-14,3854.3225806452
"France",2020-01-15,24686.1290322581
"Ireland",2020-01-15,2548.3870967742
"Netherlands",2020-01-15,1570.9677419355
"Belgium",2020-01-15,3854.3225806452
"France",2020-01-16,24686.1290322581
"Ireland",2020-01-16,2548.3870967742
"Netherlands",2020-01-16,1570.9677419355
"Belgium",2020-01-16,3854.3225806452
"France",2020-01-17,24686.1290322581
"Ireland",2020-01-17,2548.3870967742
"Netherlands",2020-01-17,1570.9677419355
"Belgium",2020-01-17,3854.3225806452
"France",2020-01-18,24686.1290322581
"Ireland",2020-01-18,2548.3870967742
"Netherlands",2020-01-18,1570.9677419355
"Belgium",2020-01-18,3854.3225806452
"France",2020-01-19,24686.1290322581
"Ireland",2020-01-19,2548.3870967742
"Netherlands",2020-01-19,1570.9677419355
"Belgium",2020-01-19,3854.3225806452
"France",2020-01-20,24686.1290322581
"Ireland",2020-01-20,2548.3870967742
"Netherlands",2020-01-20,1570.9677419355
"Belgium",2020-01-20,3854.3225806452
"France",2020-01-21,24686.1290322581
"Ireland",2020-01-21,2548.3870967742
"Netherlands",2020-01-21,1570.9677419355
"Belgium",2020-01-21,3854.3225806452
"France",2020-01-22,24686.1290322581
"Ireland",2020-01-22,2548.3870967742
"Netherlands",2020-01-22,1570.9677419355
"Belgium",2020-01-22,3854.3225806452
"France",2020-01-23,24686.1290322581
"Ireland",2020-01-23,2548.3870967742
"Netherlands",2020-01-23,1570.9677419355
"Belgium",2020-01-23,3854.3225806452
"France",2020-01-24,24686.1290322581
"Ireland",2020-01-24,2548.3870967742
"Netherlands",2020-01-24,1570.9677419355
"Belgium",2020-01-24,3854.3225806452
"France",2020-01-25,24686.1290322581
"Ireland",2020-01-25,2548.3870967742
"Netherlands",2020-01-25,1570.9677419355
"Belgium",2020-01-25,3854.3225806452
"France",2020-01-26,24686.1290322581
"Ireland",2020-01-26,2548.3870967742
"Netherlands",2020-01-26,1570.9677419355
"Belgium",2020-01-26,3854.3225806452
"France",2020-01-27,24686.1290322581
"Ireland",2020-01-27,2548.3870967742
"Netherlands",2020-01-27,1570.9677419355
"Belgium",2020-01-27,3854.3225806452
"France",2020-01-28,24686.1290322581
"Ireland",2020-01-28,2548.3870967742
"Netherlands",2020-01-28,1570.9677419355
"Belgium",2020-01-28,3854.3225806452
"France",2020-01-29,24686.1290322581
"Ireland",2020-01-29,2548.3870967742
"Netherlands",2020-01-29,1570.9677419355
"Belgium",2020-01-29,3854.3225806452
"France",2020-01-30,24686.1290322581
"Ireland",2020-01-30,2548.3870967742
"Netherlands",2020-01-30,1570.9677419355
"Belgium",2020-01-30,3854.3225806452
"France",2020-01-31,24686.1290322581
"Ireland",2020-01-31,2548.3870967742
"Netherlands",2020-01-31,1570.9677419355
"Belgium",2020-01-31,3854.3225806452
"France",2020-02-01,26136.8965517241
"Ireland",2020-02-01,1965.5172413793
"Netherlands",2020-02-01,1620.6896551724
"Belgium",2020-02-01,4120.1379310345
"France",2020-02-02,26136.8965517241
"Ireland",2020-02-02,1965.5172413793
"Netherlands",2020-02-02,1620.6896551724
"Belgium",2020-02-02,4120.1379310345
"France",2020-02-03,26136.8965517241
"Ireland",2020-02-03,1965.5172413793
"Netherlands",2020-02-03,1620.6896551724
"Belgium",2020-02-03,4120.1379310345
"France",2020-02-04,26136.8965517241
"Ireland",2020-02-04,1965.5172413793
"Netherlands",2020-02-04,1620.6896551724
"Belgium",2020-02-04,4120.1379310345
"France",2020-02-05,26136.8965517241
"Ireland",2020-02-05,1965.5172413793
"Netherlands",2020-02-05,1620.6896551724
"Belgium",2020-02-05,4120.1379310345
"France",2020-02-06,26136.8965517241
"Ireland",2020-02-06,1965.5172413793
"Netherlands",2020-02-06,1620.6896551724
"Belgium",2020-02-06,4120.1379310345
"France",2020-02-07,26136.8965517241
"Ireland",2020-02-07,1965.5172413793
"Netherlands",2020-02-07,1620.6896551724
"Belgium",2020-02-07,4120.1379310345
"France",2020-02-08,26136.8965517241
"Ireland",2020-02-08,1965.5172413793
"Netherlands",2020-02-08,1620.6896551724
"Belgium",2020-02-08,4120.1379310345
"France",2020-02-09,26136.8965517241
"Ireland",2020-02-09,1965.5172413793
"Netherlands",2020-02-09,1620.6896551724
"Belgium",2020-02-09,4120.1379310345
"France",2020-02-10,26136.8965517241
"Ireland",2020-02-10,1965.5172413793
"Netherlands",2020-02-10,1620.6896551724
"Belgium",2020-02-10,4120.1379310345
"France",2020-02-11,26136.8965517241
"Ireland",2020-02-11,1965.5172413793
"Netherlands",2020-02-11,1620.6896551724
"Belgium",2020-02-11,4120.1379310345
"France",2020-02-12,26136.8965517241
"Ireland",2020-02-12,1965.5172413793
"Netherlands",2020-02-12,1620.6896551724
"Belgium",2020-02-12,4120.1379310345
"France",2020-02-13,26136.8965517241
"Ireland",2020-02-13,1965.5172413793
"Netherlands",2020-02-13,1620.6896551724
"Belgium",2020-02-13,4120.1379310345
"France",2020-02-14,26136.8965517241
"Ireland",2020-02-14,1965.5172413793
"Netherlands",2020-02-14,1620.6896551724
"Belgium",2020-02-14,4120.1379310345
"France",2020-02-15,26136.8965517241
"Ireland",2020-02-15,1965.5172413793
"Netherlands",2020-02-15,1620.6896551724
"Belgium",2020-02-15,4120.1379310345
"France",2020-02-16,26136.8965517241
"Ireland",2020-02-16,1965.5172413793
"Netherlands",2020-02-16,1620.6896551724
"Belgium",2020-02-16,4120.1379310345
"France",2020-02-17,26136.8965517241
"Ireland",2020-02-17,1965.5172413793
"Netherlands",2020-02-17,1620.6896551724
"Belgium",2020-02-17,4120.1379310345
"France",2020-02-18,26136.8965517241
"Ireland",2020-02-18,1965.5172413793
"Netherlands",2020-02-18,1620.6896551724
"Belgium",2020-02-18,4120.1379310345
"France",2020-02-19,26136.8965517241
"Ireland",2020-02-19,1965.5172413793
"Netherlands",2020-02-19,1620.6896551724
"Belgium",2020-02-19,4120.1379310345
"France",2020-02-20,26136.8965517241
"Ireland",2020-02-20,1965.5172413793
"Netherlands",2020-02-20,1620.6896551724
"Belgium",2020-02-20,4120.1379310345
"France",2020-02-21,26136.8965517241
"Ireland",2020-02-21,1965.5172413793
"Netherlands",2020-02-21,1620.6896551724
"Belgium",2020-02-21,4120.1379310345
"France",2020-02-22,26136.8965517241
"Ireland",2020-02-22,1965.5172413793
"Netherlands",2020-02-22,1620.6896551724
"Belgium",2020-02-22,4120.1379310345
"France",2020-02-23,26136.8965517241
"Ireland",2020-02-23,1965.5172413793
"Netherlands",2020-02-23,1620.6896551724
"Belgium",2020-02-23,4120.1379310345
"France",2020-02-24,26136.8965517241
"Ireland",2020-02-24,1965.5172413793
"Netherlands",2020-02-24,1620.6896551724
"Belgium",2020-02-24,4120.1379310345
"France",2020-02-25,26136.8965517241
"Ireland",2020-02-25,1965.5172413793
"Netherlands",2020-02-25,1620.6896551724
"Belgium",2020-02-25,4120.1379310345
"France",2020-02-26,26136.8965517241
"Ireland",2020-02-26,1965.5172413793
"Netherlands",2020-02-26,1620.6896551724
"Belgium",2020-02-26,4120.1379310345
"France",2020-02-27,26136.8965517241
"Ireland",2020-02-27,1965.5172413793
"Netherlands",2020-02-27,1620.6896551724
"Belgium",2020-02-27,4120.1379310345
"France",2020-02-28,26136.8965517241
"Ireland",2020-02-28,1965.5172413793
"Netherlands",2020-02-28,1620.6896551724
"Belgium",2020-02-28,4120.1379310345
"France",2020-02-29,26136.8965517241
"Ireland",2020-02-29,1965.5172413793
"Netherlands",2020-02-29,1620.6896551724
"Belgium",2020-02-29,4120.1379310345
"France",2020-03-01,16631.7225806452
"Ireland",2020-03-01,1387.0967741936
"Netherlands",2020-03-01,967.7419354839
"Belgium",2020-03-01,2775.1122580645
"France",2020-03-02,16631.7225806452
"Ireland",2020-03-02,1387.0967741936
"Netherlands",2020-03-02,967.7419354839
"Belgium",2020-03-02,2775.1122580645
"France",2020-03-03,16631.7225806452
"Ireland",2020-03-03,1387.0967741936
"Netherlands",2020-03-03,967.7419354839
"Belgium",2020-03-03,2775.1122580645
"France",2020-03-04,16631.7225806452
"Ireland",2020-03-04,1387.0967741936
"Netherlands",2020-03-04,967.7419354839
"Belgium",2020-03-04,2775.1122580645
"France",2020-03-05,16631.7225806452
"Ireland",2020-03-05,1387.0967741936
"Netherlands",2020-03-05,967.7419354839
"Belgium",2020-03-05,2775.1122580645
"France",2020-03-06,16631.7225806452
"Ireland",2020-03-06,1387.0967741936
"Netherlands",2020-03-06,967.7419354839
"Belgium",2020-03-06,2775.1122580645
"France",2020-03-07,16631.7225806452
"Ireland",2020-03-07,1387.0967741936
"Netherlands",2020-03-07,967.7419354839
"Belgium",2020-03-07,2775.1122580645
"France",2020-03-08,16631.7225806452
"Ireland",2020-03-08,1387.0967741936
"Netherlands",2020-03-08,967.7419354839
"Belgium",2020-03-08,2775.1122580645
"France",2020-03-09,16631.7225806452
"Ireland",2020-03-09,1387.0967741936
"Netherlands",2020-03-09,967.7419354839
"Belgium",2020-03-09,2775.1122580645
"France",2020-03-10,16631.7225806452
"Ireland",2020-03-10,1387.0967741936
"Netherlands",2020-03-10,967.7419354839
"Belgium",2020-03-10,2775.1122580645
"France",2020-03-11,16631.7225806452
"Ireland",2020-03-11,1387.0967741936
"Netherlands",2020-03-11,967.7419354839
"Belgium",2020-03-11,2775.1122580645
"France",2020-03-12,16631.7225806452
"Ireland",2020-03-12,1387.0967741936
"Netherlands",2020-03-12,967.7419354839
"Belgium",2020-03-12,2775.1122580645
"France",2020-03-13,16631.7225806452
"Ireland",2020-03-13,1387.0967741936
"Netherlands",2020-03-13,967.7419354839
"Belgium",2020-03-13,2775.1122580645
"France",2020-03-14,16631.7225806452
"Ireland",2020-03-14,1387.0967741936
"Netherlands",2020-03-14,967.7419354839
"Belgium",2020-03-14,2775.1122580645
"France",2020-03-15,16631.7225806452
"Ireland",2020-03-15,1387.0967741936
"Netherlands",2020-03-15,967.7419354839
"Belgium",2020-03-15,2775.1122580645
"France",2020-03-16,16631.7225806452
"Ireland",2020-03-16,1387.0967741936
"Netherlands",2020-03-16,967.7419354839
"Belgium",2020-03-16,2775.1122580645
"France",2020-03-17,16631.7225806452
"Ireland",2020-03-17,1387.0967741936
"Netherlands",2020-03-17,967.7419354839
"Belgium",2020-03-17,2775.1122580645
"France",2020-03-18,16631.7225806452
"Ireland",2020-03-18,1387.0967741936
"Netherlands",2020-03-18,967.7419354839
"Belgium",2020-03-18,2775.1122580645
"France",2020-03-19,16631.7225806452
"Ireland",2020-03-19,1387.0967741936
"Netherlands",2020-03-19,967.7419354839
"Belgium",2020-03-19,2775.1122580645
"France",2020-03-20,16631.7225806452
"Ireland",2020-03-20,1387.0967741936
"Netherlands",2020-03-20,967.7419354839
"Belgium",2020-03-20,2775.1122580645
"France",2020-03-21,16631.7225806452
"Ireland",2020-03-21,1387.0967741936
"Netherlands",2020-03-21,967.7419354839
"Belgium",2020-03-21,2775.1122580645
"France",2020-03-22,16631.7225806452
"Ireland",2020-03-22,1387.0967741936
"Netherlands",2020-03-22,967.7419354839
