state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
144000	-434.92855802653935	-24.409265398577215	-410.51929262796216	212.0	0.20330146879766003	0.20330146879766023	0.17042069446750985	2.8930010255724543	0.0	75.0	69.0	6.0	75.0
148500	-463.0037648229105	-31.114755818964934	-431.8890090039456	387.0	0.26432264686269386	0.2643226468626939	0.22460467954900695	1.8504441515959718	0.0	81.0	73.0	6.0	79.0
153000	-446.10159187335154	-22.796492407346978	-423.30509946600455	479.0	0.19457806429057473	0.19457806429057486	0.11704834987638046	2.012291801983256	0.0	79.0	78.0	1.0	79.0
157500	-468.08957553603045	-33.550417061104255	-434.5391584749262	411.0	0.2794319535534762	0.27943195355347544	0.4727972663434151	2.733626952920191	0.0	82.0	71.0	9.0	80.0
162000	-426.75371986742874	-22.086512669273006	-404.6672071981557	375.0	0.19535965258342744	0.19535965258342822	0.009887037246124572	1.3236000421882874	0.0	74.0	73.0	1.0	74.0
166500	-440.5521643840791	-29.743098629941603	-410.8090657541375	265.0	0.2586153696470825	0.25861536964708304	0.1804115064880443	1.6997757552871111	0.0	81.0	79.0	2.0	81.0
171000	-441.3146156735007	-20.338335080836977	-420.9762805926637	40.0	0.1808107811922133	0.18081078119221378	0.114408910185258	1.1735724598822415	0.0	79.0	76.0	3.0	79.0
175500	-435.5805545138621	-27.277468496983243	-408.30308601687886	145.0	0.2381086850515633	0.23810868505156266	0.3049623214233862	1.9665219180363593	0.0	79.0	77.0	2.0	79.0
180000	-432.0759857830317	-29.604207940420288	-402.4717778426114	238.0	0.24797212685700495	0.2479721268570059	0.0990586647722006	2.819167544225973	0.0	75.0	74.0	1.0	75.0
184500	-451.4243512013553	-22.71941008757941	-428.7049411137759	184.0	0.19626056205797038	0.19626056205796955	0.16727895143586893	2.134894755209955	0.0	77.0	69.0	8.0	77.0
189000	-434.09244168565004	-26.285293499137918	-407.8071481865121	497.0	0.2338999479323665	0.23389994793236604	0.09213429706050784	0.8520731086727833	0.0	76.0	74.0	2.0	78.0
193500	-429.42408655600036	-30.843547731733594	-398.58053882426674	334.0	0.26633630549489057	0.26633630549488946	0.45252965322934297	1.4413490434330747	0.0	77.0	68.0	5.0	73.0
198000	-435.9121663475072	-25.875608019404552	-410.0365583281026	199.0	0.22225279039954018	0.2222527903995398	0.17736483435713135	1.3352278954823997	0.0	75.0	72.0	3.0	75.0
202500	-450.20649881375687	-30.609372470647536	-419.5971263431093	39.0	0.2588466357705909	0.25884663577059047	0.09139624579150118	1.8794722547297344	0.0	80.0	78.0	2.0	80.0
