cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
A_DTA_MCC_55,2,2020.293962655,2020-04-18,2020.30601092896,2020.34699453552,A-DTA-20200818.combined.MCC.tree,0.5,2020.30597888678,2020.26446077871,2020.30597888678,2020.2273836537
A_DTA_MCC_57,2,2020.21686162851,2020-03-20,2020.22131147541,2020.23770491803,A-DTA-20200818.combined.MCC.tree,0.5,2020.2212869673,2020.20339167338,2020.2212869673,2020.1838035827
A_DTA_MCC_58,3,2020.2259616208,2020-03-24,2020.23770491803,2020.24863387978,A-DTA-20200818.combined.MCC.tree,0.5,2020.2259616208,2020.22316904095,2020.2259616208,2020.22316904095
A_DTA_MCC_61,3,2020.21886356349,2020-03-21,2020.25136612022,2020.28961748634,A-DTA-20200818.combined.MCC.tree,0.5,2020.24199533993,2020.19437443891,2020.24738930488,2020.1802763401
A_DTA_MCC_8,2,2020.23921082976,2020-03-29,2020.24590163934,2020.24590163934,A-DTA-20200818.combined.MCC.tree,0.5,2020.24584808948,2020.21938726828,2020.2458568124,2020.20064338932
A_DTA_MCC_9,6,2020.20169907673,2020-03-15,2020.21038251366,2020.24316939891,A-DTA-20200818.combined.MCC.tree,0.5,2020.21010205408,2020.18785018607,2020.21036295815,2020.17063601474
B_DTA_MCC_1,1590,2020.07043734731,2020-01-27,2020.10655737705,2020.41803278689,B-DTA-20200818.combined.MCC.tree,0.5,2020.09868190505,2020.04169411913,2020.10066164183,2020.03098038263
B_DTA_MCC_100,2,2020.21642961319,2020-03-20,2020.21857923497,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.21642961319,2020.21516026412,2020.21642961319,2020.21516026412
B_DTA_MCC_101,5,2020.18771600881,2020-03-10,2020.19398907104,2020.34153005464,B-DTA-20200818.combined.MCC.tree,0.5,2020.19376549434,2020.17097507502,2020.19398414442,2020.15907831746
B_DTA_MCC_103,6,2020.18435900229,2020-03-08,2020.19672131148,2020.25956284153,B-DTA-20200818.combined.MCC.tree,0.5,2020.19443436936,2020.16970416583,2020.19597188603,2020.15582230018
B_DTA_MCC_106,38,2020.1624838446,2020-02-29,2020.1912568306,2020.28415300546,B-DTA-20200818.combined.MCC.tree,0.5,2020.17277378268,2020.14212974734,2020.17875981112,2020.11001972325
B_DTA_MCC_107,10,2020.18578978896,2020-03-09,2020.19398907104,2020.27322404372,B-DTA-20200818.combined.MCC.tree,0.5,2020.18578978896,2020.18578978896,2020.18578978896,2020.18160009575
B_DTA_MCC_112,43,2020.16037267001,2020-02-29,2020.19398907104,2020.35245901639,B-DTA-20200818.combined.MCC.tree,0.5,2020.17293036899,2020.14018017562,2020.17820926457,2020.07146086457
B_DTA_MCC_116,11,2020.19180034077,2020-03-11,2020.21584699454,2020.40163934426,B-DTA-20200818.combined.MCC.tree,0.5,2020.19180034077,2020.19180034077,2020.19180034077,2020.19180034077
