sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORW-EBB82/2020,UK,UK-ENG,B.1,2020-05-07,2020.34699453552,England/NORW-EBB82/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBBCE/2020,UK,UK-ENG,B.1,2020-05-06,2020.34426229508,England/NORW-EBBCE/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBBDD/2020,UK,UK-ENG,B.1,2020-05-05,2020.34153005464,England/NORW-EBBDD/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBBEC/2020,UK,UK-ENG,B.1.p11,2020-05-06,2020.34426229508,England/NORW-EBBEC/2020,B.1.pruned_DTA_MCC_17
England/NORW-EBBFB/2020,UK,UK-ENG,B.1.p11,2020-05-06,2020.34426229508,England/NORW-EBBFB/2020,B.1.pruned_DTA_MCC_17
England/NORW-EBC43/2020,UK,UK-ENG,B.1,2020-05-06,2020.34426229508,England/NORW-EBC43/2020,B.1.pruned_DTA_MCC_565
England/NORW-EBCAD/2020,UK,UK-ENG,B.1,2020-05-06,2020.34426229508,England/NORW-EBCAD/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBCF8/2020,UK,UK-ENG,B.1,2020-05-08,2020.34972677596,England/NORW-EBCF8/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBD04/2020,UK,UK-ENG,B.1,2020-05-08,2020.34972677596,England/NORW-EBD04/2020,B.1.pruned_DTA_MCC_461
England/NORW-EBD8C/2020,UK,UK-ENG,B.1.5.5,2020-05-05,2020.34153005464,England/NORW-EBD8C/2020,B.1.pruned_DTA_MCC_319
England/NORW-EBDE6/2020,UK,UK-ENG,B.1,2020-05-08,2020.34972677596,England/NORW-EBDE6/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBDF5/2020,UK,UK-ENG,B.1.p11,2020-05-06,2020.34426229508,England/NORW-EBDF5/2020,B.1.pruned_DTA_MCC_17
England/NORW-EBE01/2020,UK,UK-ENG,B.1.p11,2020-05-06,2020.34426229508,England/NORW-EBE01/2020,B.1.pruned_DTA_MCC_81
England/NORW-EBE10/2020,UK,UK-ENG,B.1,2020-05-06,2020.34426229508,England/NORW-EBE10/2020,B.1.pruned_DTA_MCC_42
England/NORW-EBE3E/2020,UK,UK-ENG,B.1.5.5,2020-05-05,2020.34153005464,England/NORW-EBE3E/2020,B.1.pruned_DTA_MCC_319
England/NORW-EBE4D/2020,UK,UK-ENG,B.1,2020-05-06,2020.34426229508,England/NORW-EBE4D/2020,B.1.pruned_DTA_MCC_164
England/NORW-EBE6B/2020,UK,UK-ENG,B.1.p11,2020-05-06,2020.34426229508,England/NORW-EBE6B/2020,B.1.pruned_DTA_MCC_17
England/NORW-EC40E/2020,UK,UK-ENG,B.1.5.5,2020-05-12,2020.3606557377,England/NORW-EC40E/2020,B.1.pruned_DTA_MCC_319
England/NORW-EC50B/2020,UK,UK-ENG,B.1,2020-05-11,2020.35792349727,England/NORW-EC50B/2020,B.1.pruned_DTA_MCC_461
England/NORW-EC592/2020,UK,UK-ENG,B.1.5.5,2020-05-10,2020.35519125683,England/NORW-EC592/2020,B.1.pruned_DTA_MCC_319
England/NORW-EC5A1/2020,UK,UK-ENG,B.1.5.5,2020-05-10,2020.35519125683,England/NORW-EC5A1/2020,B.1.pruned_DTA_MCC_319
England/NORW-EC5FC/2020,UK,UK-ENG,B.1,2020-05-08,2020.34972677596,England/NORW-EC5FC/2020,B.1.pruned_DTA_MCC_42
England/NORW-EC608/2020,UK,UK-ENG,B.1.5,2020-05-09,2020.35245901639,England/NORW-EC608/2020,B.1.pruned_DTA_MCC_557
England/NORW-EC653/2020,UK,UK-ENG,B.1.p11,2020-05-10,2020.35519125683,England/NORW-EC653/2020,B.1.pruned_DTA_MCC_17
England/NORW-EC662/2020,UK,UK-ENG,B.1,2020-05-10,2020.35519125683,England/NORW-EC662/2020,B.1.pruned_DTA_MCC_461
England/NORW-EC69F/2020,UK,UK-ENG,B.1,2020-05-10,2020.35519125683,England/NORW-EC69F/2020,B.1.pruned_DTA_MCC_461
England/NORW-EC6DB/2020,UK,UK-ENG,B.1,2020-05-10,2020.35519125683,England/NORW-EC6DB/2020,B.1.pruned_DTA_MCC_42
