sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/201141169/2020,UK,UK-ENG,A.5,2020-03-09,2020.18579234973,England/201141169/2020,A_DTA_MCC_1
England/20119037304/2020,UK,UK-ENG,A.5,2020-03-12,2020.19398907104,England/20119037304/2020,A_DTA_MCC_2
England/20126000104/2020,UK,UK-ENG,A.2,2020-03-17,2020.20765027322,England/20126000104/2020,A_DTA_MCC_3
England/20128000604/2020,UK,UK-ENG,A.2,2020-03-19,2020.2131147541,England/20128000604/2020,A_DTA_MCC_3
England/20129002004/2020,UK,UK-ENG,A.2,2020-03-20,2020.21584699454,England/20129002004/2020,A_DTA_MCC_3
England/20129164904/2020,UK,UK-ENG,A.2,2020-03-21,2020.21857923497,England/20129164904/2020,A_DTA_MCC_3
England/20134079704/2020,UK,UK-ENG,A.5,2020-03-24,2020.22677595628,England/20134079704/2020,A_DTA_MCC_4
England/20139018302/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/20139018302/2020,A_DTA_MCC_5
England/20139064904/2020,UK,UK-ENG,A.2,2020-03-29,2020.24043715847,England/20139064904/2020,A_DTA_MCC_6
England/20144003804/2020,UK,UK-ENG,A.2,2020-04-01,2020.24863387978,England/20144003804/2020,A_DTA_MCC_7
England/20144006004/2020,UK,UK-ENG,A.2,2020-03-31,2020.24590163934,England/20144006004/2020,A_DTA_MCC_8
England/20144011504/2020,UK,UK-ENG,A.1,2020-03-30,2020.24316939891,England/20144011504/2020,A_DTA_MCC_9
England/20144022904/2020,UK,UK-ENG,A.1,2020-03-30,2020.24316939891,England/20144022904/2020,A_DTA_MCC_10
England/20149051704/2020,UK,UK-ENG,A.1,2020-04-02,2020.25136612022,England/20149051704/2020,A_DTA_MCC_11
England/20150031504/2020,UK,UK-ENG,A.2,2020-04-03,2020.25409836066,England/20150031504/2020,A_DTA_MCC_12
England/20162037504/2020,UK,UK-ENG,A.2,2020-04-09,2020.27049180328,England/20162037504/2020,A_DTA_MCC_13
England/BIRM-5E73B/2020,UK,UK-ENG,A.1,2020-03-23,2020.22404371585,England/BIRM-5E73B/2020,A_DTA_MCC_14
England/BIRM-5FE53/2020,UK,UK-ENG,A,2020-05-20,2020.3825136612,England/BIRM-5FE53/2020,A_DTA_MCC_15
England/BRIS-1219B2/2020,UK,UK-ENG,A.2,2020-03-15,2020.20218579235,England/BRIS-1219B2/2020,A_DTA_MCC_16
England/BRIS-121F0B/2020,UK,UK-ENG,A.2,2020-03-13,2020.19672131148,England/BRIS-121F0B/2020,A_DTA_MCC_17
England/BRIS-12233B/2020,UK,UK-ENG,A.2,2020-03-23,2020.22404371585,England/BRIS-12233B/2020,A_DTA_MCC_13
England/BRIS-122B06/2020,UK,UK-ENG,A.2,2020-04-03,2020.25409836066,England/BRIS-122B06/2020,A_DTA_MCC_18
England/BRIS-1235BC/2020,UK,UK-ENG,A.2,2020-04-05,2020.25956284153,England/BRIS-1235BC/2020,A_DTA_MCC_16
England/BRIS-12390B/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-12390B/2020,A_DTA_MCC_18
England/BRIS-12391A/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-12391A/2020,A_DTA_MCC_18
England/BRIS-123929/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-123929/2020,A_DTA_MCC_18
England/BRIS-1248FE/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/BRIS-1248FE/2020,A_DTA_MCC_19
England/BRIS-124DA4/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-124DA4/2020,A_DTA_MCC_20
England/BRIS-124F53/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-124F53/2020,A_DTA_MCC_16
England/BRIS-125268/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-125268/2020,A_DTA_MCC_16
England/BRIS-125435/2020,UK,UK-ENG,A.2,2020-03-27,2020.2349726776,England/BRIS-125435/2020,A_DTA_MCC_19
England/BRIS-1259DC/2020,UK,UK-ENG,A.2,2020-03-30,2020.24316939891,England/BRIS-1259DC/2020,A_DTA_MCC_21
England/CAMB-1AE22B/2020,UK,UK-ENG,A.2,2020-04-27,2020.31967213115,England/CAMB-1AE22B/2020,A_DTA_MCC_22
England/CAMB-7233D/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/CAMB-7233D/2020,A_DTA_MCC_23
England/CAMB-72EE1/2020,UK,UK-ENG,A.1,2020-03-23,2020.22404371585,England/CAMB-72EE1/2020,A_DTA_MCC_24
England/CAMB-72F66/2020,UK,UK-ENG,A.2,2020-03-22,2020.22131147541,England/CAMB-72F66/2020,A_DTA_MCC_25
England/CAMB-751C7/2020,UK,UK-ENG,A.1,2020-03-13,2020.19672131148,England/CAMB-751C7/2020,A_DTA_MCC_26
England/CAMB-75C20/2020,UK,UK-ENG,A.2,2020-03-28,2020.23770491803,England/CAMB-75C20/2020,A_DTA_MCC_27
England/CAMB-75EDF/2020,UK,UK-ENG,A.2,2020-03-29,2020.24043715847,England/CAMB-75EDF/2020,A_DTA_MCC_28
England/CAMB-764BE/2020,UK,UK-ENG,A.1,2020-03-29,2020.24043715847,England/CAMB-764BE/2020,A_DTA_MCC_24
England/CAMB-770D7/2020,UK,UK-ENG,A.2,2020-04-01,2020.24863387978,England/CAMB-770D7/2020,A_DTA_MCC_29
England/CAMB-7A4BA/2020,UK,UK-ENG,A.2,2020-04-02,2020.25136612022,England/CAMB-7A4BA/2020,A_DTA_MCC_22
England/CAMB-7BC93/2020,UK,UK-ENG,A.2,2020-04-04,2020.25683060109,England/CAMB-7BC93/2020,A_DTA_MCC_30
England/CAMB-7C8CB/2020,UK,UK-ENG,A.2,2020-04-05,2020.25956284153,England/CAMB-7C8CB/2020,A_DTA_MCC_31
England/CAMB-803C3/2020,UK,UK-ENG,A.5,2020-04-09,2020.27049180328,England/CAMB-803C3/2020,A_DTA_MCC_32
England/CAMB-812A7/2020,UK,UK-ENG,A.2,2020-04-11,2020.27595628415,England/CAMB-812A7/2020,A_DTA_MCC_22
England/CAMB-82CC6/2020,UK,UK-ENG,A.2,2020-04-22,2020.30601092896,England/CAMB-82CC6/2020,A_DTA_MCC_33
England/CAMB-83357/2020,UK,UK-ENG,A.2,2020-04-14,2020.28415300546,England/CAMB-83357/2020,A_DTA_MCC_22
England/CAMB-84550/2020,UK,UK-ENG,A.2,2020-04-16,2020.28961748634,England/CAMB-84550/2020,A_DTA_MCC_22
England/EXET-1359F7/2020,UK,UK-ENG,A.2,2020-03-17,2020.20765027322,England/EXET-1359F7/2020,A_DTA_MCC_34
England/EXET-135D64/2020,UK,UK-ENG,A.2,2020-03-27,2020.2349726776,England/EXET-135D64/2020,A_DTA_MCC_13
England/EXET-135E34/2020,UK,UK-ENG,A.2,2020-03-27,2020.2349726776,England/EXET-135E34/2020,A_DTA_MCC_20
England/EXET-136CC0/2020,UK,UK-ENG,A.2,2020-04-28,2020.32240437158,England/EXET-136CC0/2020,A_DTA_MCC_13
England/EXET-136E33/2020,UK,UK-ENG,A.2,2020-04-22,2020.30601092896,England/EXET-136E33/2020,A_DTA_MCC_35
England/EXET-13739D/2020,UK,UK-ENG,A.2,2020-03-27,2020.2349726776,England/EXET-13739D/2020,A_DTA_MCC_13
England/EXET-1373BB/2020,UK,UK-ENG,A.2,2020-03-17,2020.20765027322,England/EXET-1373BB/2020,A_DTA_MCC_36
England/EXET-1375F1/2020,UK,UK-ENG,A.2,2020-06-03,2020.42076502732,England/EXET-1375F1/2020,A_DTA_MCC_13
England/LIVE-99FF0/2020,UK,UK-ENG,A.5,2020-04-14,2020.28415300546,England/LIVE-99FF0/2020,A_DTA_MCC_37
England/LIVE-9A083/2020,UK,UK-ENG,A.5,2020-04-17,2020.29234972678,England/LIVE-9A083/2020,A_DTA_MCC_37
England/LIVE-9A0CF/2020,UK,UK-ENG,A.5,2020-04-17,2020.29234972678,England/LIVE-9A0CF/2020,A_DTA_MCC_32
England/LIVE-9A214/2020,UK,UK-ENG,A.5,2020-04-17,2020.29234972678,England/LIVE-9A214/2020,A_DTA_MCC_32
England/LIVE-9A5B1/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/LIVE-9A5B1/2020,A_DTA_MCC_3
England/LIVE-9BD4F/2020,UK,UK-ENG,A.5,2020-04-19,2020.29781420765,England/LIVE-9BD4F/2020,A_DTA_MCC_37
England/LIVE-9C519/2020,UK,UK-ENG,A,2020-03-21,2020.21857923497,England/LIVE-9C519/2020,A_DTA_MCC_38
England/LIVE-9CE87/2020,UK,UK-ENG,A.5,2020-04-26,2020.31693989071,England/LIVE-9CE87/2020,A_DTA_MCC_37
England/LIVE-9D484/2020,UK,UK-ENG,A.5,2020-04-16,2020.28961748634,England/LIVE-9D484/2020,A_DTA_MCC_32
England/LOND-D3631/2020,UK,UK-ENG,A.2,2020-04-02,2020.25136612022,England/LOND-D3631/2020,A_DTA_MCC_39
England/LOND-D604F/2020,UK,UK-ENG,A,2020-04-19,2020.29781420765,England/LOND-D604F/2020,A_DTA_MCC_40
England/NORT-2818A3/2020,UK,UK-ENG,A.5,2020-03-20,2020.21584699454,England/NORT-2818A3/2020,A_DTA_MCC_41
England/NORT-28206E/2020,UK,UK-ENG,A.1,2020-03-24,2020.22677595628,England/NORT-28206E/2020,A_DTA_MCC_42
England/NORT-282F61/2020,UK,UK-ENG,A.1,2020-03-28,2020.23770491803,England/NORT-282F61/2020,A_DTA_MCC_42
England/NORT-28412D/2020,UK,UK-ENG,A.5,2020-05-10,2020.35519125683,England/NORT-28412D/2020,A_DTA_MCC_43
England/NORT-2841E1/2020,UK,UK-ENG,A.3,2020-03-14,2020.19945355191,England/NORT-2841E1/2020,A_DTA_MCC_44
England/NORT-284891/2020,UK,UK-ENG,A.5,2020-03-20,2020.21584699454,England/NORT-284891/2020,A_DTA_MCC_41
England/NORT-284A40/2020,UK,UK-ENG,A.1,2020-03-26,2020.23224043716,England/NORT-284A40/2020,A_DTA_MCC_45
England/NORT-289629/2020,UK,UK-ENG,A.5,2020-03-31,2020.24590163934,England/NORT-289629/2020,A_DTA_MCC_43
England/NORT-28AA1D/2020,UK,UK-ENG,A.5,2020-04-14,2020.28415300546,England/NORT-28AA1D/2020,A_DTA_MCC_43
England/NORT-2950D1/2020,UK,UK-ENG,A.1,2020-03-29,2020.24043715847,England/NORT-2950D1/2020,A_DTA_MCC_42
England/NOTT-10E599/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/NOTT-10E599/2020,A_DTA_MCC_46
England/NOTT-10EAB8/2020,UK,UK-ENG,A.2,2020-03-30,2020.24316939891,England/NOTT-10EAB8/2020,A_DTA_MCC_47
England/NOTT-111E01/2020,UK,UK-ENG,A.2,2020-04-15,2020.2868852459,England/NOTT-111E01/2020,A_DTA_MCC_48
England/NOTT-111F4A/2020,UK,UK-ENG,A.2,2020-05-03,2020.33606557377,England/NOTT-111F4A/2020,A_DTA_MCC_48
England/OXON-AF319/2020,UK,UK-ENG,A.2,2020-03-16,2020.20491803279,England/OXON-AF319/2020,A_DTA_MCC_49
England/OXON-B0922/2020,UK,UK-ENG,A.2,2020-03-28,2020.23770491803,England/OXON-B0922/2020,A_DTA_MCC_30
England/PHEC-1DAE4/2020,UK,UK-ENG,A.1,2020-04-04,2020.25683060109,England/PHEC-1DAE4/2020,A_DTA_MCC_24
England/PHEC-1DAF3/2020,UK,UK-ENG,A.1,2020-04-02,2020.25136612022,England/PHEC-1DAF3/2020,A_DTA_MCC_24
England/PHEC-1E2FA/2020,UK,UK-ENG,A.5,2020-04-10,2020.27322404372,England/PHEC-1E2FA/2020,A_DTA_MCC_50
England/PHEC-1EE7E/2020,UK,UK-ENG,A.2,2020-03-31,2020.24590163934,England/PHEC-1EE7E/2020,A_DTA_MCC_8
England/PHEC-22387/2020,UK,UK-ENG,A,2020-06-03,2020.42076502732,England/PHEC-22387/2020,A_DTA_MCC_15
Scotland/CVR1043/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1043/2020,A_DTA_MCC_48
Scotland/CVR1069/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1069/2020,A_DTA_MCC_48
Scotland/CVR1113/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1113/2020,A_DTA_MCC_48
Scotland/CVR1123/2020,UK,UK-SCT,A.2,2020-03-30,2020.24316939891,Scotland/CVR1123/2020,A_DTA_MCC_48
Scotland/CVR113/2020,UK,UK-SCT,A.3,2020-03-15,2020.20218579235,Scotland/CVR113/2020,A_DTA_MCC_51
Scotland/CVR1133/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1133/2020,A_DTA_MCC_48
Scotland/CVR1133b/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1133b/2020,A_DTA_MCC_48
Scotland/CVR1142/2020,UK,UK-SCT,A.2,2020-03-29,2020.24043715847,Scotland/CVR1142/2020,A_DTA_MCC_48
Scotland/CVR1148/2020,UK,UK-SCT,A.5,2020-03-30,2020.24316939891,Scotland/CVR1148/2020,A_DTA_MCC_52
Scotland/CVR1179/2020,UK,UK-SCT,A.2,2020-03-30,2020.24316939891,Scotland/CVR1179/2020,A_DTA_MCC_48
Scotland/CVR1232/2020,UK,UK-SCT,A.2,2020-03-31,2020.24590163934,Scotland/CVR1232/2020,A_DTA_MCC_48
Scotland/CVR1256/2020,UK,UK-SCT,A.2,2020-03-31,2020.24590163934,Scotland/CVR1256/2020,A_DTA_MCC_48
Scotland/CVR1257/2020,UK,UK-SCT,A.5,2020-03-30,2020.24316939891,Scotland/CVR1257/2020,A_DTA_MCC_53
Scotland/CVR1261/2020,UK,UK-SCT,A.2,2020-03-31,2020.24590163934,Scotland/CVR1261/2020,A_DTA_MCC_48
Scotland/CVR1263/2020,UK,UK-SCT,A.2,2020-03-31,2020.24590163934,Scotland/CVR1263/2020,A_DTA_MCC_48
Scotland/CVR1295/2020,UK,UK-SCT,A.2,2020-03-30,2020.24316939891,Scotland/CVR1295/2020,A_DTA_MCC_48
Scotland/CVR1325/2020,UK,UK-SCT,A.5,2020-03-31,2020.24590163934,Scotland/CVR1325/2020,A_DTA_MCC_53
Scotland/CVR1361/2020,UK,UK-SCT,A.3,2020-04-01,2020.24863387978,Scotland/CVR1361/2020,A_DTA_MCC_51
Scotland/CVR1370/2020,UK,UK-SCT,A.2,2020-03-31,2020.24590163934,Scotland/CVR1370/2020,A_DTA_MCC_48
Scotland/CVR1400/2020,UK,UK-SCT,A.5,2020-04-01,2020.24863387978,Scotland/CVR1400/2020,A_DTA_MCC_32
Scotland/CVR1423/2020,UK,UK-SCT,A.2,2020-04-01,2020.24863387978,Scotland/CVR1423/2020,A_DTA_MCC_48
Scotland/CVR1447/2020,UK,UK-SCT,A.5,2020-04-01,2020.24863387978,Scotland/CVR1447/2020,A_DTA_MCC_53
Scotland/CVR1452/2020,UK,UK-SCT,A.2,2020-04-02,2020.25136612022,Scotland/CVR1452/2020,A_DTA_MCC_48
Scotland/CVR1469/2020,UK,UK-SCT,A.3,2020-04-02,2020.25136612022,Scotland/CVR1469/2020,A_DTA_MCC_51
Scotland/CVR1499/2020,UK,UK-SCT,A.3,2020-04-03,2020.25409836066,Scotland/CVR1499/2020,A_DTA_MCC_51
Scotland/CVR1501/2020,UK,UK-SCT,A.3,2020-04-03,2020.25409836066,Scotland/CVR1501/2020,A_DTA_MCC_51
Scotland/CVR1503/2020,UK,UK-SCT,A.2,2020-04-03,2020.25409836066,Scotland/CVR1503/2020,A_DTA_MCC_48
Scotland/CVR1507/2020,UK,UK-SCT,A.2,2020-04-03,2020.25409836066,Scotland/CVR1507/2020,A_DTA_MCC_48
Scotland/CVR1514/2020,UK,UK-SCT,A.2,2020-04-03,2020.25409836066,Scotland/CVR1514/2020,A_DTA_MCC_48
Scotland/CVR1521/2020,UK,UK-SCT,A.2,2020-04-03,2020.25409836066,Scotland/CVR1521/2020,A_DTA_MCC_48
Scotland/CVR1545/2020,UK,UK-SCT,A.2,2020-04-04,2020.25683060109,Scotland/CVR1545/2020,A_DTA_MCC_48
Scotland/CVR1555/2020,UK,UK-SCT,A.2,2020-04-03,2020.25409836066,Scotland/CVR1555/2020,A_DTA_MCC_48
Scotland/CVR1568/2020,UK,UK-SCT,A.2,2020-04-04,2020.25683060109,Scotland/CVR1568/2020,A_DTA_MCC_48
Scotland/CVR1573/2020,UK,UK-SCT,A.3,2020-04-04,2020.25683060109,Scotland/CVR1573/2020,A_DTA_MCC_51
Scotland/CVR1613/2020,UK,UK-SCT,A.2,2020-04-05,2020.25956284153,Scotland/CVR1613/2020,A_DTA_MCC_48
Scotland/CVR1615/2020,UK,UK-SCT,A.2,2020-04-05,2020.25956284153,Scotland/CVR1615/2020,A_DTA_MCC_48
Scotland/CVR1634/2020,UK,UK-SCT,A.2,2020-04-05,2020.25956284153,Scotland/CVR1634/2020,A_DTA_MCC_48
Scotland/CVR1641/2020,UK,UK-SCT,A.2,2020-04-06,2020.26229508197,Scotland/CVR1641/2020,A_DTA_MCC_48
Scotland/CVR173/2020,UK,UK-SCT,A.2,2020-03-17,2020.20765027322,Scotland/CVR173/2020,A_DTA_MCC_48
Scotland/CVR178/2020,UK,UK-SCT,A.2,2020-03-18,2020.21038251366,Scotland/CVR178/2020,A_DTA_MCC_48
Scotland/CVR1816/2020,UK,UK-SCT,A.2,2020-04-07,2020.2650273224,Scotland/CVR1816/2020,A_DTA_MCC_48
Scotland/CVR1856/2020,UK,UK-SCT,A.3,2020-04-08,2020.26775956284,Scotland/CVR1856/2020,A_DTA_MCC_51
Scotland/CVR1899/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1899/2020,A_DTA_MCC_48
Scotland/CVR190/2020,UK,UK-SCT,A.1,2020-03-18,2020.21038251366,Scotland/CVR190/2020,A_DTA_MCC_9
Scotland/CVR1903/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1903/2020,A_DTA_MCC_48
Scotland/CVR1923/2020,UK,UK-SCT,A.2,2020-04-09,2020.27049180328,Scotland/CVR1923/2020,A_DTA_MCC_48
Scotland/CVR1931/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1931/2020,A_DTA_MCC_48
Scotland/CVR1938/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1938/2020,A_DTA_MCC_48
Scotland/CVR1958/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1958/2020,A_DTA_MCC_48
Scotland/CVR1962/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1962/2020,A_DTA_MCC_48
Scotland/CVR1977/2020,UK,UK-SCT,A.2,2020-04-08,2020.26775956284,Scotland/CVR1977/2020,A_DTA_MCC_48
Scotland/CVR2042/2020,UK,UK-SCT,A.2,2020-04-09,2020.27049180328,Scotland/CVR2042/2020,A_DTA_MCC_48
Scotland/CVR205/2020,UK,UK-SCT,A.3,2020-03-19,2020.2131147541,Scotland/CVR205/2020,A_DTA_MCC_51
Scotland/CVR2086/2020,UK,UK-SCT,A.2,2020-04-10,2020.27322404372,Scotland/CVR2086/2020,A_DTA_MCC_48
Scotland/CVR2118/2020,UK,UK-SCT,A.2,2020-04-10,2020.27322404372,Scotland/CVR2118/2020,A_DTA_MCC_48
Scotland/CVR2129/2020,UK,UK-SCT,A.3,2020-04-10,2020.27322404372,Scotland/CVR2129/2020,A_DTA_MCC_51
Scotland/CVR216/2020,UK,UK-SCT,A.2,2020-03-19,2020.2131147541,Scotland/CVR216/2020,A_DTA_MCC_48
Scotland/CVR2199/2020,UK,UK-SCT,A.2,2020-04-11,2020.27595628415,Scotland/CVR2199/2020,A_DTA_MCC_48
Scotland/CVR2215/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2215/2020,A_DTA_MCC_48
Scotland/CVR2236/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2236/2020,A_DTA_MCC_48
Scotland/CVR2237/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2237/2020,A_DTA_MCC_48
Scotland/CVR2242/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2242/2020,A_DTA_MCC_48
Scotland/CVR2246/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2246/2020,A_DTA_MCC_48
Scotland/CVR2253/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2253/2020,A_DTA_MCC_48
Scotland/CVR2308/2020,UK,UK-SCT,A.2,2020-04-12,2020.27868852459,Scotland/CVR2308/2020,A_DTA_MCC_48
Scotland/CVR2331/2020,UK,UK-SCT,A.2,2020-04-13,2020.28142076503,Scotland/CVR2331/2020,A_DTA_MCC_48
Scotland/CVR2356/2020,UK,UK-SCT,A.2,2020-04-14,2020.28415300546,Scotland/CVR2356/2020,A_DTA_MCC_48
Scotland/CVR2375/2020,UK,UK-SCT,A.2,2020-04-13,2020.28142076503,Scotland/CVR2375/2020,A_DTA_MCC_48
Scotland/CVR2380/2020,UK,UK-SCT,A.2,2020-04-13,2020.28142076503,Scotland/CVR2380/2020,A_DTA_MCC_48
Scotland/CVR24/2020,UK,UK-SCT,A.2,2020-03-12,2020.19398907104,Scotland/CVR24/2020,A_DTA_MCC_48
Scotland/CVR2419/2020,UK,UK-SCT,A.2,2020-04-14,2020.28415300546,Scotland/CVR2419/2020,A_DTA_MCC_48
Scotland/CVR246/2020,UK,UK-SCT,A.3,2020-03-19,2020.2131147541,Scotland/CVR246/2020,A_DTA_MCC_51
Scotland/CVR258/2020,UK,UK-SCT,A.5,2020-03-20,2020.21584699454,Scotland/CVR258/2020,A_DTA_MCC_41
Scotland/CVR2591/2020,UK,UK-SCT,A.2,2020-04-16,2020.28961748634,Scotland/CVR2591/2020,A_DTA_MCC_48
Scotland/CVR2603/2020,UK,UK-SCT,A.2,2020-04-16,2020.28961748634,Scotland/CVR2603/2020,A_DTA_MCC_48
Scotland/CVR261/2020,UK,UK-SCT,A.3,2020-03-20,2020.21584699454,Scotland/CVR261/2020,A_DTA_MCC_51
Scotland/CVR2610/2020,UK,UK-SCT,A.2,2020-04-15,2020.2868852459,Scotland/CVR2610/2020,A_DTA_MCC_48
Scotland/CVR2631/2020,UK,UK-SCT,A.2,2020-04-16,2020.28961748634,Scotland/CVR2631/2020,A_DTA_MCC_48
Scotland/CVR2662/2020,UK,UK-SCT,A.2,2020-04-17,2020.29234972678,Scotland/CVR2662/2020,A_DTA_MCC_48
Scotland/CVR2676/2020,UK,UK-SCT,A.2,2020-04-17,2020.29234972678,Scotland/CVR2676/2020,A_DTA_MCC_48
Scotland/CVR2682/2020,UK,UK-SCT,A.2,2020-04-18,2020.29508196721,Scotland/CVR2682/2020,A_DTA_MCC_48
Scotland/CVR2714/2020,UK,UK-SCT,A.2,2020-04-18,2020.29508196721,Scotland/CVR2714/2020,A_DTA_MCC_48
Scotland/CVR2720/2020,UK,UK-SCT,A.2,2020-04-18,2020.29508196721,Scotland/CVR2720/2020,A_DTA_MCC_48
Scotland/CVR2745/2020,UK,UK-SCT,A.2,2020-04-18,2020.29508196721,Scotland/CVR2745/2020,A_DTA_MCC_48
Scotland/CVR2747/2020,UK,UK-SCT,A.2,2020-04-18,2020.29508196721,Scotland/CVR2747/2020,A_DTA_MCC_48
Scotland/CVR2824/2020,UK,UK-SCT,A.2,2020-04-21,2020.30327868852,Scotland/CVR2824/2020,A_DTA_MCC_48
Scotland/CVR2829/2020,UK,UK-SCT,A.2,2020-04-21,2020.30327868852,Scotland/CVR2829/2020,A_DTA_MCC_48
Scotland/CVR2851/2020,UK,UK-SCT,A.2,2020-04-21,2020.30327868852,Scotland/CVR2851/2020,A_DTA_MCC_48
Scotland/CVR2853/2020,UK,UK-SCT,A.5,2020-04-21,2020.30327868852,Scotland/CVR2853/2020,A_DTA_MCC_53
Scotland/CVR2921/2020,UK,UK-SCT,A.5,2020-04-22,2020.30601092896,Scotland/CVR2921/2020,A_DTA_MCC_54
Scotland/CVR2924/2020,UK,UK-SCT,A.2,2020-04-22,2020.30601092896,Scotland/CVR2924/2020,A_DTA_MCC_48
Scotland/CVR2941/2020,UK,UK-SCT,A.2,2020-04-22,2020.30601092896,Scotland/CVR2941/2020,A_DTA_MCC_48
Scotland/CVR2944/2020,UK,UK-SCT,A.5,2020-04-22,2020.30601092896,Scotland/CVR2944/2020,A_DTA_MCC_53
Scotland/CVR2964/2020,UK,UK-SCT,A.5,2020-04-22,2020.30601092896,Scotland/CVR2964/2020,A_DTA_MCC_53
Scotland/CVR2975/2020,UK,UK-SCT,A.5,2020-04-22,2020.30601092896,Scotland/CVR2975/2020,A_DTA_MCC_55
Scotland/CVR3000/2020,UK,UK-SCT,A.2,2020-04-23,2020.3087431694,Scotland/CVR3000/2020,A_DTA_MCC_48
Scotland/CVR3048/2020,UK,UK-SCT,A.2,2020-04-24,2020.31147540984,Scotland/CVR3048/2020,A_DTA_MCC_48
Scotland/CVR3061/2020,UK,UK-SCT,A.2,2020-04-24,2020.31147540984,Scotland/CVR3061/2020,A_DTA_MCC_48
Scotland/CVR3062/2020,UK,UK-SCT,A.2,2020-04-24,2020.31147540984,Scotland/CVR3062/2020,A_DTA_MCC_48
Scotland/CVR3070/2020,UK,UK-SCT,A.2,2020-04-24,2020.31147540984,Scotland/CVR3070/2020,A_DTA_MCC_48
Scotland/CVR3128/2020,UK,UK-SCT,A.2,2020-04-27,2020.31967213115,Scotland/CVR3128/2020,A_DTA_MCC_48
Scotland/CVR3203/2020,UK,UK-SCT,A.2,2020-04-27,2020.31967213115,Scotland/CVR3203/2020,A_DTA_MCC_48
Scotland/CVR3236/2020,UK,UK-SCT,A.5,2020-04-26,2020.31693989071,Scotland/CVR3236/2020,A_DTA_MCC_53
Scotland/CVR3346/2020,UK,UK-SCT,A.2,2020-05-06,2020.34426229508,Scotland/CVR3346/2020,A_DTA_MCC_48
Scotland/CVR3350/2020,UK,UK-SCT,A.5,2020-05-07,2020.34699453552,Scotland/CVR3350/2020,A_DTA_MCC_55
Scotland/CVR3440/2020,UK,UK-SCT,A.2,2020-05-07,2020.34699453552,Scotland/CVR3440/2020,A_DTA_MCC_48
Scotland/CVR3456/2020,UK,UK-SCT,A.2,2020-05-10,2020.35519125683,Scotland/CVR3456/2020,A_DTA_MCC_48
Scotland/CVR3514/2020,UK,UK-SCT,A.2,2020-05-13,2020.36338797814,Scotland/CVR3514/2020,A_DTA_MCC_48
Scotland/CVR3518/2020,UK,UK-SCT,A.2,2020-05-12,2020.3606557377,Scotland/CVR3518/2020,A_DTA_MCC_48
Scotland/CVR3544/2020,UK,UK-SCT,A.2,2020-05-15,2020.36885245902,Scotland/CVR3544/2020,A_DTA_MCC_48
Scotland/CVR3547/2020,UK,UK-SCT,A.2,2020-05-13,2020.36338797814,Scotland/CVR3547/2020,A_DTA_MCC_48
Scotland/CVR3548/2020,UK,UK-SCT,A.2,2020-05-13,2020.36338797814,Scotland/CVR3548/2020,A_DTA_MCC_48
Scotland/CVR3644/2020,UK,UK-SCT,A.2,2020-05-21,2020.38524590164,Scotland/CVR3644/2020,A_DTA_MCC_48
Scotland/CVR3660/2020,UK,UK-SCT,A.2,2020-05-22,2020.38797814208,Scotland/CVR3660/2020,A_DTA_MCC_48
Scotland/CVR3694/2020,UK,UK-SCT,A.2,2020-05-24,2020.39344262295,Scotland/CVR3694/2020,A_DTA_MCC_48
