Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_33,4,2,2,03/03/2020,12/03/2020,9,577.6687194,577.6687194,577.6687194
B.1.1_DTA_MCC_48,4,4,2,03/03/2020,03/03/2020,0,60.25067048,30.12533524,30.12533524
B.1.1_DTA_MCC_70,4,4,3,07/03/2020,30/03/2020,23,460.7789106,305.1779985,397.3540549
B.1.1_DTA_MCC_99,4,3,3,11/03/2020,01/04/2020,21,267.5634429,209.7912872,267.3050269
B.1.1_DTA_MCC_146,4,0,0,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_157,4,2,2,20/03/2020,16/04/2020,27,234.0811663,234.0811663,234.0811663
B.1.1_DTA_MCC_234,4,2,2,25/03/2020,21/04/2020,27,149.6486157,149.6486157,149.6486157
B.1.1_DTA_MCC_237,4,1,1,25/03/2020,29/03/2020,4,NA,NA,NA
B.1.1_DTA_MCC_268,4,2,2,26/03/2020,20/04/2020,25,161.1740101,161.1740101,161.1740101
B.1.1_DTA_MCC_290,4,4,3,26/03/2020,14/04/2020,19,234.0811663,117.0600004,117.069709
B.1.1_DTA_MCC_301,4,4,4,23/03/2020,05/04/2020,13,94.5053918,53.09908247,51.32264816
B.1.1_DTA_MCC_304,4,4,3,27/03/2020,17/04/2020,21,406.4283849,213.8977869,205.1396405
B.1.1_DTA_MCC_310,4,1,1,01/04/2020,20/04/2020,19,NA,NA,NA
B.1.1_DTA_MCC_313,4,2,1,28/03/2020,04/04/2020,7,0,0,0
B.1.1_DTA_MCC_349,4,3,3,03/04/2020,09/06/2020,67,97.85628546,68.03482478,69.50907824
B.1.1_DTA_MCC_387,4,3,3,02/04/2020,11/05/2020,39,288.6764432,232.1214691,264.0278956
B.1.1_DTA_MCC_395,4,4,3,07/04/2020,17/04/2020,10,185.7322958,108.4403595,93.07384187
B.1.1_DTA_MCC_397,4,3,3,25/03/2020,21/04/2020,27,222.7490571,193.1928009,213.169277
B.1.1_DTA_MCC_428,4,1,1,22/04/2020,27/04/2020,5,NA,NA,NA
B.1.1_DTA_MCC_430,4,4,3,01/04/2020,17/04/2020,16,254.8703819,147.3255731,129.5639567
B.1.1_DTA_MCC_432,4,3,3,24/03/2020,18/04/2020,25,360.8910245,256.235159,271.7726787
B.1.1_DTA_MCC_443,4,4,3,15/04/2020,24/04/2020,9,89.89327994,49.88994669,50.38908481
B.1.1_DTA_MCC_446,4,4,4,03/04/2020,17/04/2020,14,94.5053918,53.09908247,51.32264816
B.1.1_DTA_MCC_470,4,3,2,17/04/2020,26/04/2020,9,56.97509324,37.98339549,56.97509324
B.1.1_DTA_MCC_475,4,4,1,21/04/2020,05/05/2020,14,0,0,0
B.1.1_DTA_MCC_485,4,4,3,22/04/2020,06/05/2020,14,93.02988141,70.33673305,80.24274299
B.1.1_DTA_MCC_492,4,4,1,01/05/2020,19/05/2020,18,0,0,0
B.1.1_DTA_MCC_525,4,4,4,23/03/2020,13/04/2020,21,115.9255521,71.51896665,58.72462651
B.1.1_DTA_MCC_538,4,4,1,23/03/2020,08/04/2020,16,0,0,0
B.1.1_DTA_MCC_569,4,4,4,26/03/2020,23/04/2020,28,567.8096713,293.7034932,287.9019519
B.1.1_DTA_MCC_581,4,4,2,24/03/2020,03/04/2020,10,550.0513579,275.025679,275.025679
B.1.1_DTA_MCC_613,4,3,3,01/04/2020,08/04/2020,7,296.7660251,201.9049737,251.9738029
B.1.1_DTA_MCC_626,4,3,3,11/04/2020,11/06/2020,61,157.5299929,105.5345422,123.3658099
B.1.1_DTA_MCC_643,4,4,2,06/04/2020,29/04/2020,23,92.19667388,61.46444925,92.19667388
B.1.1_DTA_MCC_654,4,3,2,20/03/2020,10/05/2020,51,303.9909127,202.6606085,303.9909127
B.1.1_DTA_MCC_697,4,4,2,21/04/2020,04/05/2020,13,262.4214524,131.2107262,131.2107262
B.1.1_DTA_MCC_704,4,4,1,16/04/2020,20/04/2020,4,0,0,0
B.1.1_DTA_MCC_730,4,3,2,09/03/2020,04/04/2020,26,192.3856754,128.2571169,192.3856754
B.1.1_DTA_MCC_738,4,4,3,06/04/2020,20/04/2020,14,538.9117709,395.3974854,532.9773625
B.1.1_DTA_MCC_741,4,1,1,14/04/2020,23/04/2020,9,NA,NA,NA
B.1.1_DTA_MCC_791,4,4,3,25/03/2020,09/04/2020,15,386.7320494,260.9446531,377.4993491
B.1.1_DTA_MCC_809,4,4,1,03/04/2020,11/04/2020,8,0,0,0
B.1.1_DTA_MCC_811,4,3,2,30/03/2020,07/06/2020,69,212.5325111,141.6883407,212.5325111
B.1.1_DTA_MCC_860,4,4,3,24/03/2020,06/05/2020,43,306.5447203,157.3176611,159.3403116
B.1.1_DTA_MCC_914,4,4,1,23/04/2020,10/05/2020,17,0,0,0
B.1.1_DTA_MCC_963,4,4,4,01/04/2020,21/04/2020,20,538.3211635,276.4140968,277.094486
B.1.1_DTA_MCC_967,4,4,3,05/04/2020,28/04/2020,23,22.35358226,15.94466736,17.02364224
B.1.1_DTA_MCC_1006,4,3,1,07/04/2020,27/04/2020,20,0,0,0
B.1.1_DTA_MCC_1009,4,4,3,30/03/2020,08/04/2020,9,476.1420468,254.9707493,263.4206122
B.1.1_DTA_MCC_1030,4,4,1,10/04/2020,25/04/2020,15,0,0,0
B.1.1_DTA_MCC_1069,4,4,3,09/04/2020,14/04/2020,5,24.87150914,14.57675094,15.64724912
B.1.pruned_DTA_MCC_98,4,4,3,15/03/2020,06/04/2020,22,324.9242515,165.6013734,167.1709972
B.1.pruned_DTA_MCC_190,4,3,3,28/03/2020,04/04/2020,7,553.9910212,369.6234564,339.0414126
B.1.pruned_DTA_MCC_248,4,4,2,30/03/2020,06/04/2020,7,185.7322958,123.8215306,185.7322958
B.1.pruned_DTA_MCC_255,4,4,3,04/04/2020,27/04/2020,23,243.2840538,175.5739325,210.2509797
B.1.pruned_DTA_MCC_260,4,3,1,05/04/2020,12/05/2020,37,0,0,0
B.1.pruned_DTA_MCC_264,4,4,2,06/04/2020,10/04/2020,4,56.812799,28.4063995,28.4063995
B.1.pruned_DTA_MCC_266,4,3,1,06/04/2020,18/04/2020,12,0,0,0
B.1.pruned_DTA_MCC_270,4,4,4,25/03/2020,05/05/2020,41,327.5191331,206.1202249,232.5006391
B.1.pruned_DTA_MCC_292,4,3,2,07/04/2020,27/04/2020,20,225.3402212,150.2268141,225.3402212
B.1.pruned_DTA_MCC_300,4,4,4,04/04/2020,11/04/2020,7,519.7198023,317.4569108,312.5282045
B.1.pruned_DTA_MCC_333,4,4,4,23/03/2020,01/05/2020,39,478.6356401,266.1720561,254.976498
B.1.pruned_DTA_MCC_336,4,4,1,21/03/2020,22/03/2020,1,0,0,0
B.1.pruned_DTA_MCC_350,4,4,3,19/03/2020,28/03/2020,9,517.0702513,305.3812236,328.8042726
B.1.pruned_DTA_MCC_373,4,4,2,30/03/2020,05/04/2020,6,279.1028235,139.5514118,139.5514118
B.1.pruned_DTA_MCC_380,4,3,3,25/03/2020,11/04/2020,17,615.8728701,417.5091423,564.8077011
B.1.pruned_DTA_MCC_382,4,4,2,31/03/2020,01/04/2020,1,97.48190426,48.74095213,48.74095213
B.1.pruned_DTA_MCC_383,4,4,4,26/03/2020,06/04/2020,11,550.0513579,306.5611767,276.5509245
B.1.pruned_DTA_MCC_389,4,4,3,07/04/2020,10/05/2020,33,573.3637645,381.7348301,556.6651849
B.1.pruned_DTA_MCC_433,4,4,3,28/03/2020,12/04/2020,15,480.212106,318.754747,358.079094
B.1.pruned_DTA_MCC_453,4,3,3,25/03/2020,11/05/2020,47,213.8177575,145.4559394,180.5355497
B.1.pruned_DTA_MCC_478,4,4,1,03/06/2020,05/06/2020,2,0,0,0
B.1.pruned_DTA_MCC_486,4,1,1,31/03/2020,04/05/2020,34,NA,NA,NA
B.1.pruned_DTA_MCC_510,4,2,2,12/03/2020,05/04/2020,24,455.2195063,455.2195063,455.2195063
B.1.pruned_DTA_MCC_516,4,2,2,19/03/2020,06/04/2020,18,152.3059649,152.3059649,152.3059649
B.1.pruned_DTA_MCC_565,4,4,4,01/05/2020,12/05/2020,11,469.1312905,355.2565342,447.0750195
B.1.pruned_DTA_MCC_621,4,3,1,15/03/2020,18/04/2020,34,0,0,0
B.1.pruned_DTA_MCC_698,4,4,3,17/03/2020,13/04/2020,27,568.3027258,292.9868535,297.4045989
B.1.pruned_DTA_MCC_706,4,4,1,22/03/2020,16/04/2020,25,0,0,0
B.1.pruned_DTA_MCC_722,4,4,2,18/04/2020,07/05/2020,19,16.51394311,8.256971554,8.256971554
B.1.pruned_DTA_MCC_773,4,4,4,02/04/2020,12/04/2020,10,413.4391956,215.1616031,215.3539337
B.1.pruned_DTA_MCC_837,4,3,2,26/03/2020,04/04/2020,9,186.4400205,124.293347,186.4400205
B.1.X_DTA_MCC_21,4,3,1,22/03/2020,02/04/2020,11,0,0,0
B.1.X_DTA_MCC_57,4,3,1,04/05/2020,26/05/2020,22,0,0,0
B.1.X_DTA_MCC_59,4,4,4,10/04/2020,19/05/2020,39,333.4232394,183.7746084,184.7243162
B.1.X_DTA_MCC_97,4,4,1,16/04/2020,04/05/2020,18,0,0,0
B.1.X_DTA_MCC_350,4,3,2,01/04/2020,10/04/2020,9,43.27158991,28.84772661,43.27158991
A_DTA_MCC_41,3,3,2,20/03/2020,20/03/2020,0,187.9813333,125.3208888,187.9813333
A_DTA_MCC_42,3,3,1,24/03/2020,29/03/2020,5,0,0,0
A_DTA_MCC_43,3,2,1,31/03/2020,10/05/2020,40,0,0,0
A_DTA_MCC_52,3,3,2,25/03/2020,31/03/2020,6,58.71953965,39.14635977,58.71953965
A_DTA_MCC_58,3,3,3,28/03/2020,01/04/2020,4,58.71953965,39.14640666,37.98477653
A_DTA_MCC_61,3,2,1,02/04/2020,16/04/2020,14,0,0,0
B_DTA_MCC_15,3,3,1,28/02/2020,02/03/2020,3,0,0,0
B_DTA_MCC_28,3,2,2,02/03/2020,05/03/2020,3,182.7255488,182.7255488,182.7255488
B_DTA_MCC_39,3,3,3,04/03/2020,05/04/2020,32,254.8703819,192.0550742,226.7894488
B_DTA_MCC_62,3,3,2,09/03/2020,02/04/2020,24,234.0811663,156.0541109,234.0811663
B_DTA_MCC_92,3,0,0,18/03/2020,31/03/2020,13,NA,NA,NA
B_DTA_MCC_145,3,1,1,30/03/2020,08/04/2020,9,NA,NA,NA
B_DTA_MCC_153,3,3,2,18/03/2020,06/04/2020,19,165.7254479,110.483632,165.7254479
B_DTA_MCC_157,3,3,3,25/03/2020,02/06/2020,69,175.9942121,118.1160416,121.5411136
B_DTA_MCC_161,3,3,3,11/03/2020,29/03/2020,18,461.3589907,316.8830689,298.9526943
B_DTA_MCC_162,3,3,3,17/03/2020,22/03/2020,5,520.6738928,375.2778392,480.212106
B_DTA_MCC_209,3,3,3,28/03/2020,18/04/2020,21,550.0513579,384.0613112,509.1026942
B_DTA_MCC_211,3,3,3,25/03/2020,30/03/2020,5,262.6262035,224.2657387,207.287789
B_DTA_MCC_215,3,2,2,30/03/2020,02/04/2020,3,35.7078237,35.7078237,35.7078237
B_DTA_MCC_221,3,2,2,25/03/2020,02/04/2020,8,555.446484,555.446484,555.446484
B_DTA_MCC_243,3,3,3,03/04/2020,15/04/2020,12,214.7569746,146.8884937,155.790011
B_DTA_MCC_245,3,2,1,27/03/2020,05/05/2020,39,0,0,0
B_DTA_MCC_248,3,3,3,03/04/2020,09/04/2020,6,253.3993873,184.5034975,198.4315943
B_DTA_MCC_279,3,3,1,29/04/2020,30/04/2020,1,0,0,0
B_DTA_MCC_283,3,2,2,18/03/2020,24/03/2020,6,460.4764618,460.4764618,460.4764618
B_DTA_MCC_284,3,0,0,15/04/2020,24/04/2020,9,NA,NA,NA
B_DTA_MCC_289,3,3,2,26/03/2020,19/04/2020,24,228.8556706,152.5704471,228.8556706
B_DTA_MCC_310,3,3,2,12/03/2020,08/04/2020,27,58.71953965,39.14635977,58.71953965
B_DTA_MCC_314,3,2,1,20/03/2020,02/04/2020,13,0,0,0
B_DTA_MCC_316,3,3,2,20/04/2020,23/04/2020,3,63.73286273,42.48857515,63.73286273
B_DTA_MCC_351,3,2,2,19/03/2020,05/04/2020,17,80.88046405,80.88046405,80.88046405
B.1.1_DTA_MCC_8,3,3,3,01/03/2020,04/03/2020,3,219.3351311,149.3378394,188.6300594
B.1.1_DTA_MCC_118,3,1,1,13/03/2020,30/03/2020,17,NA,NA,NA
B.1.1_DTA_MCC_132,3,3,3,14/03/2020,07/04/2020,24,56.04443915,42.83045783,36.73911064
B.1.1_DTA_MCC_141,3,3,2,16/03/2020,22/04/2020,37,234.0811663,156.0541109,234.0811663
B.1.1_DTA_MCC_162,3,2,2,20/03/2020,06/04/2020,17,60.46586511,60.46586511,60.46586511
B.1.1_DTA_MCC_210,3,1,1,23/03/2020,09/04/2020,17,NA,NA,NA
B.1.1_DTA_MCC_255,3,1,1,26/03/2020,03/04/2020,8,NA,NA,NA
B.1.1_DTA_MCC_259,3,3,1,28/03/2020,28/03/2020,0,0,0,0
B.1.1_DTA_MCC_274,3,2,2,29/03/2020,02/04/2020,4,56.41931885,56.41931885,56.41931885
B.1.1_DTA_MCC_300,3,2,2,27/03/2020,13/04/2020,17,115.0847613,115.0847613,115.0847613
B.1.1_DTA_MCC_315,3,3,3,06/04/2020,21/04/2020,15,165.3217562,127.6440392,149.6486157
B.1.1_DTA_MCC_346,3,1,1,07/04/2020,24/05/2020,47,NA,NA,NA
B.1.1_DTA_MCC_360,3,3,3,19/03/2020,03/04/2020,15,279.1028235,245.6841762,277.4232643
B.1.1_DTA_MCC_381,3,2,2,03/04/2020,12/04/2020,9,96.71276592,96.71276592,96.71276592
B.1.1_DTA_MCC_408,3,3,3,21/03/2020,17/04/2020,27,577.836908,395.0389587,538.1865944
B.1.1_DTA_MCC_416,3,3,2,27/03/2020,23/04/2020,27,470.612088,313.741392,470.612088
B.1.1_DTA_MCC_440,3,1,1,03/04/2020,01/05/2020,28,NA,NA,NA
B.1.1_DTA_MCC_455,3,2,2,07/04/2020,17/04/2020,10,303.9909127,303.9909127,303.9909127
B.1.1_DTA_MCC_456,3,3,3,02/04/2020,01/05/2020,29,519.7198023,395.5521287,452.7355989
B.1.1_DTA_MCC_463,3,3,1,18/04/2020,07/05/2020,19,0,0,0
B.1.1_DTA_MCC_468,3,3,1,21/04/2020,21/04/2020,0,0,0,0
B.1.1_DTA_MCC_476,3,3,1,27/04/2020,11/05/2020,14,0,0,0
B.1.1_DTA_MCC_487,3,1,1,30/03/2020,24/04/2020,25,NA,NA,NA
B.1.1_DTA_MCC_490,3,3,3,10/04/2020,30/04/2020,20,122.2598977,81.67063994,97.48190426
B.1.1_DTA_MCC_491,3,3,2,30/04/2020,01/05/2020,1,519.7198023,346.4798682,519.7198023
B.1.1_DTA_MCC_501,3,3,1,19/04/2020,07/05/2020,18,0,0,0
B.1.1_DTA_MCC_503,3,2,2,01/04/2020,29/04/2020,28,269.8260154,269.8260154,269.8260154
B.1.1_DTA_MCC_510,3,3,2,01/05/2020,18/05/2020,17,115.9255521,77.28370142,115.9255521
B.1.1_DTA_MCC_518,3,2,2,31/03/2020,06/04/2020,6,80.24274299,80.24274299,80.24274299
B.1.1_DTA_MCC_528,3,3,2,24/03/2020,28/03/2020,4,224.952733,149.9684887,224.952733
B.1.1_DTA_MCC_534,3,3,3,23/03/2020,21/04/2020,29,224.952733,165.6063958,211.3922946
B.1.1_DTA_MCC_576,3,3,3,30/03/2020,06/04/2020,7,93.02988141,62.0627703,56.41931885
B.1.1_DTA_MCC_577,3,1,1,30/03/2020,16/04/2020,17,NA,NA,NA
B.1.1_DTA_MCC_603,3,2,2,03/04/2020,13/06/2020,71,507.3022509,507.3022509,507.3022509
B.1.1_DTA_MCC_605,3,1,1,29/03/2020,13/04/2020,15,NA,NA,NA
B.1.1_DTA_MCC_607,3,2,2,02/04/2020,15/04/2020,13,198.4315943,198.4315943,198.4315943
B.1.1_DTA_MCC_614,3,3,3,02/04/2020,11/04/2020,9,73.19559858,63.54551898,60.46586511
B.1.1_DTA_MCC_623,3,3,3,02/04/2020,08/04/2020,6,327.5191331,228.2353918,276.9442993
B.1.1_DTA_MCC_641,3,2,2,07/04/2020,20/04/2020,13,316.794986,316.794986,316.794986
B.1.1_DTA_MCC_668,3,2,2,07/04/2020,17/04/2020,10,305.6304423,305.6304423,305.6304423
B.1.1_DTA_MCC_670,3,3,3,30/03/2020,11/04/2020,12,242.5875198,165.3649567,226.3913612
B.1.1_DTA_MCC_677,3,3,3,12/04/2020,18/04/2020,6,315.0018601,211.9752175,197.4091115
B.1.1_DTA_MCC_699,3,3,2,06/06/2020,12/06/2020,6,54.43124448,36.28749632,54.43124448
B.1.1_DTA_MCC_702,3,1,1,08/04/2020,29/04/2020,21,NA,NA,NA
B.1.1_DTA_MCC_710,3,3,3,02/04/2020,03/04/2020,1,406.4283849,291.5282489,253.3993873
B.1.1_DTA_MCC_726,3,3,3,16/03/2020,01/04/2020,16,400.8780698,337.6133535,396.4789988
B.1.1_DTA_MCC_737,3,1,1,09/04/2020,10/04/2020,1,NA,NA,NA
B.1.1_DTA_MCC_748,3,1,1,11/04/2020,17/04/2020,6,NA,NA,NA
B.1.1_DTA_MCC_749,3,2,2,17/04/2020,16/05/2020,29,544.3564534,544.3564534,544.3564534
B.1.1_DTA_MCC_752,3,1,1,16/02/2020,14/05/2020,88,NA,NA,NA
B.1.1_DTA_MCC_777,3,2,2,20/03/2020,20/04/2020,31,15.28322694,15.28322694,15.28322694
B.1.1_DTA_MCC_784,3,0,0,30/03/2020,21/04/2020,22,NA,NA,NA
B.1.1_DTA_MCC_800,3,3,1,11/04/2020,12/04/2020,1,0,0,0
B.1.1_DTA_MCC_824,3,0,0,06/04/2020,07/04/2020,1,NA,NA,NA
B.1.1_DTA_MCC_843,3,0,0,08/04/2020,22/04/2020,14,NA,NA,NA
B.1.1_DTA_MCC_848,3,2,1,20/04/2020,27/04/2020,7,0,0,0
B.1.1_DTA_MCC_864,3,3,3,22/03/2020,04/05/2020,43,498.3968624,333.9447097,416.9276497
B.1.1_DTA_MCC_894,3,3,1,24/03/2020,28/03/2020,4,0,0,0
B.1.1_DTA_MCC_918,3,3,1,28/03/2020,04/04/2020,7,0,0,0
B.1.1_DTA_MCC_923,3,3,1,29/03/2020,14/05/2020,46,0,0,0
B.1.1_DTA_MCC_942,3,3,2,18/04/2020,01/05/2020,13,60.86385107,40.57590072,60.86385107
B.1.1_DTA_MCC_945,3,3,3,23/03/2020,19/04/2020,27,113.3151015,85.07885492,81.05761223
B.1.1_DTA_MCC_956,3,3,1,11/04/2020,23/04/2020,12,0,0,0
B.1.1_DTA_MCC_983,3,3,2,21/04/2020,22/04/2020,1,16.91355514,11.27570343,16.91355514
B.1.1_DTA_MCC_1016,3,3,2,08/05/2020,21/05/2020,13,51.01992702,34.01328468,51.01992702
B.1.1_DTA_MCC_1068,3,3,3,08/04/2020,14/04/2020,6,63.53237743,43.24896821,55.0465321
B.1.pruned_DTA_MCC_32,3,1,1,01/03/2020,05/03/2020,4,NA,NA,NA
B.1.pruned_DTA_MCC_35,3,3,3,04/03/2020,26/03/2020,22,577.836908,437.780706,556.6651849
B.1.pruned_DTA_MCC_46,3,3,2,06/03/2020,06/04/2020,31,35.7078237,23.8052158,35.7078237
B.1.pruned_DTA_MCC_101,3,3,2,14/03/2020,18/03/2020,4,532.9773625,355.3182417,532.9773625
B.1.pruned_DTA_MCC_106,3,0,0,19/03/2020,03/04/2020,15,NA,NA,NA
B.1.pruned_DTA_MCC_119,3,2,2,17/03/2020,26/03/2020,9,56.97509324,56.97509324,56.97509324
B.1.pruned_DTA_MCC_145,3,0,0,23/03/2020,31/03/2020,8,NA,NA,NA
B.1.pruned_DTA_MCC_155,3,2,2,23/03/2020,03/04/2020,11,127.2689436,127.2689436,127.2689436
B.1.pruned_DTA_MCC_177,3,2,2,26/03/2020,28/04/2020,33,214.0531812,214.0531812,214.0531812
B.1.pruned_DTA_MCC_182,3,1,1,27/03/2020,08/04/2020,12,NA,NA,NA
B.1.pruned_DTA_MCC_192,3,1,1,27/03/2020,03/04/2020,7,NA,NA,NA
B.1.pruned_DTA_MCC_217,3,3,3,03/04/2020,29/04/2020,26,749.2238386,538.4809505,520.9007483
B.1.pruned_DTA_MCC_232,3,3,2,17/03/2020,01/04/2020,15,115.0847613,76.72317421,115.0847613
B.1.pruned_DTA_MCC_235,3,2,2,20/03/2020,07/04/2020,18,179.258413,179.258413,179.258413
B.1.pruned_DTA_MCC_239,3,3,1,23/03/2020,25/04/2020,33,0,0,0
B.1.pruned_DTA_MCC_245,3,3,3,26/03/2020,04/04/2020,9,577.1512839,410.8136445,492.5295745
B.1.pruned_DTA_MCC_258,3,2,2,30/03/2020,06/04/2020,7,206.6274321,206.6274321,206.6274321
B.1.pruned_DTA_MCC_261,3,2,2,06/04/2020,17/05/2020,41,99.89331371,99.89331371,99.89331371
B.1.pruned_DTA_MCC_268,3,1,1,07/04/2020,16/04/2020,9,NA,NA,NA
B.1.pruned_DTA_MCC_277,3,3,3,12/03/2020,29/03/2020,17,521.2001539,357.7400763,409.055232
B.1.pruned_DTA_MCC_281,3,3,3,31/03/2020,05/04/2020,5,477.5929495,323.4378606,421.7082774
B.1.pruned_DTA_MCC_282,3,3,3,01/04/2020,10/04/2020,9,278.09879,193.8999492,176.3321139
B.1.pruned_DTA_MCC_302,3,3,2,18/04/2020,06/05/2020,18,105.9845609,70.6563739,105.9845609
B.1.pruned_DTA_MCC_308,3,3,2,29/03/2020,18/04/2020,20,263.4300644,175.6200429,263.4300644
B.1.pruned_DTA_MCC_315,3,3,1,19/04/2020,29/04/2020,10,0,0,0
B.1.pruned_DTA_MCC_316,3,3,1,22/04/2020,06/05/2020,14,0,0,0
B.1.pruned_DTA_MCC_327,3,3,2,31/03/2020,13/04/2020,13,35.7078237,23.8052158,35.7078237
B.1.pruned_DTA_MCC_335,3,3,3,18/03/2020,30/03/2020,12,530.1391143,355.0270907,518.4282147
B.1.pruned_DTA_MCC_340,3,2,2,22/03/2020,14/04/2020,23,262.6262035,262.6262035,262.6262035
B.1.pruned_DTA_MCC_343,3,3,2,30/03/2020,08/04/2020,9,60.25067048,40.16711365,60.25067048
B.1.pruned_DTA_MCC_344,3,3,3,30/03/2020,04/04/2020,5,145.5953234,107.1628705,132.6212666
B.1.pruned_DTA_MCC_346,3,3,2,31/03/2020,09/04/2020,9,94.5053918,63.00359454,94.5053918
B.1.pruned_DTA_MCC_356,3,3,2,27/03/2020,12/04/2020,16,75.4751495,50.31676634,75.4751495
B.1.pruned_DTA_MCC_371,3,3,2,24/03/2020,31/03/2020,7,198.4315943,132.2877295,198.4315943
B.1.pruned_DTA_MCC_379,3,3,2,25/03/2020,31/03/2020,6,377.2191949,251.4794632,377.2191949
B.1.pruned_DTA_MCC_386,3,3,2,05/04/2020,06/04/2020,1,212.99415,141.9961,212.99415
B.1.pruned_DTA_MCC_396,3,2,1,01/04/2020,11/04/2020,10,0,0,0
B.1.pruned_DTA_MCC_414,3,2,2,06/04/2020,17/04/2020,11,80.24274299,80.24274299,80.24274299
B.1.pruned_DTA_MCC_419,3,2,2,06/04/2020,10/04/2020,4,34.08567198,34.08567198,34.08567198
B.1.pruned_DTA_MCC_463,3,3,1,04/04/2020,26/04/2020,22,0,0,0
B.1.pruned_DTA_MCC_467,3,3,2,06/04/2020,21/04/2020,15,277.0131518,184.6754345,277.0131518
B.1.pruned_DTA_MCC_476,3,3,2,29/03/2020,08/04/2020,10,127.5627444,85.04182957,127.5627444
B.1.pruned_DTA_MCC_479,3,3,3,11/05/2020,26/05/2020,15,263.084148,181.9371085,200.7003746
B.1.pruned_DTA_MCC_484,3,3,3,03/04/2020,08/04/2020,5,226.7894488,162.6124979,225.3402212
B.1.pruned_DTA_MCC_506,3,2,1,02/04/2020,20/04/2020,18,0,0,0
B.1.pruned_DTA_MCC_515,3,3,1,18/03/2020,29/03/2020,11,0,0,0
B.1.pruned_DTA_MCC_520,3,2,2,26/03/2020,05/04/2020,10,50.61481202,50.61481202,50.61481202
B.1.pruned_DTA_MCC_530,3,3,3,25/03/2020,04/04/2020,10,488.2624731,347.4341234,366.0585637
B.1.pruned_DTA_MCC_532,3,3,3,03/04/2020,06/04/2020,3,749.2238386,514.0901381,640.7406107
B.1.pruned_DTA_MCC_547,3,3,3,28/03/2020,07/04/2020,10,386.7320494,264.482607,384.6244335
B.1.pruned_DTA_MCC_568,3,3,1,19/03/2020,01/04/2020,13,0,0,0
B.1.pruned_DTA_MCC_579,3,3,3,26/03/2020,05/04/2020,10,380.6681233,254.725096,325.2505395
B.1.pruned_DTA_MCC_583,3,3,1,03/04/2020,21/04/2020,18,0,0,0
B.1.pruned_DTA_MCC_591,3,1,1,06/04/2020,10/04/2020,4,NA,NA,NA
B.1.pruned_DTA_MCC_595,3,3,3,29/03/2020,31/03/2020,2,588.4865796,420.6471421,526.542963
B.1.pruned_DTA_MCC_606,3,1,1,15/04/2020,19/04/2020,4,NA,NA,NA
B.1.pruned_DTA_MCC_656,3,3,1,30/03/2020,31/03/2020,1,0,0,0
B.1.pruned_DTA_MCC_694,3,3,1,02/04/2020,06/04/2020,4,0,0,0
B.1.pruned_DTA_MCC_703,3,3,1,17/03/2020,24/03/2020,7,0,0,0
B.1.pruned_DTA_MCC_715,3,3,2,12/03/2020,26/03/2020,14,189.6315374,126.4210249,189.6315374
B.1.pruned_DTA_MCC_721,3,2,1,12/04/2020,21/04/2020,9,0,0,0
B.1.pruned_DTA_MCC_725,3,3,1,26/03/2020,20/04/2020,25,0,0,0
B.1.pruned_DTA_MCC_778,3,3,3,16/04/2020,28/04/2020,12,31.99382968,22.31431632,20.73490379
B.1.pruned_DTA_MCC_782,3,3,2,19/04/2020,30/04/2020,11,14.21421548,9.476143656,14.21421548
B.1.pruned_DTA_MCC_846,3,3,1,23/04/2020,14/05/2020,21,0,0,0
B.1.pruned_DTA_MCC_860,3,3,2,31/03/2020,12/04/2020,12,24.80378304,16.53585536,24.80378304
B.1.X_DTA_MCC_34,3,3,1,27/03/2020,31/03/2020,4,0,0,0
B.1.X_DTA_MCC_40,3,2,1,26/03/2020,01/04/2020,6,0,0,0
B.1.X_DTA_MCC_43,3,3,2,30/03/2020,15/04/2020,16,94.5053918,63.00359454,94.5053918
B.1.X_DTA_MCC_58,3,3,1,29/04/2020,07/05/2020,8,0,0,0
B.1.X_DTA_MCC_63,3,3,2,16/03/2020,25/03/2020,9,99.89331371,66.59554248,99.89331371
B.1.X_DTA_MCC_91,3,3,2,30/03/2020,06/04/2020,7,225.3402212,150.2268141,225.3402212
B.1.X_DTA_MCC_115,3,3,1,31/03/2020,08/05/2020,38,0,0,0
B.1.X_DTA_MCC_118,3,3,2,15/04/2020,30/04/2020,15,60.47415977,40.31610652,60.47415977
B.1.X_DTA_MCC_137,3,3,2,16/03/2020,08/04/2020,23,94.5053918,63.00359454,94.5053918
B.1.X_DTA_MCC_191,3,3,1,15/04/2020,22/04/2020,7,0,0,0
B.1.X_DTA_MCC_204,3,1,1,02/04/2020,17/04/2020,15,NA,NA,NA
B.1.X_DTA_MCC_210,3,2,1,18/04/2020,20/04/2020,2,0,0,0
B.1.X_DTA_MCC_222,3,3,1,01/04/2020,04/04/2020,3,0,0,0
B.1.X_DTA_MCC_244,3,1,1,08/04/2020,10/04/2020,2,NA,NA,NA
B.1.X_DTA_MCC_257,3,0,0,14/05/2020,14/05/2020,0,NA,NA,NA
