Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_212,78,65,20,19/03/2020,25/05/2020,67,608.9595246,267.4477774,293.1055567
B.1.pruned_DTA_MCC_49,78,75,11,05/03/2020,30/05/2020,86,467.1278312,79.32440459,0
B.1.1_DTA_MCC_119,77,71,16,13/03/2020,26/05/2020,74,492.3399449,113.7475897,56.97509324
B.1.pruned_DTA_MCC_360,77,77,2,16/03/2020,03/06/2020,79,145.5953234,3.781696711,0
B.1.pruned_DTA_MCC_710,74,72,7,22/03/2020,21/05/2020,60,383.0643472,27.21629934,0
B.1.pruned_DTA_MCC_319,73,70,2,08/04/2020,02/06/2020,55,46.78261621,13.48269188,0
B.1.1_DTA_MCC_108,72,60,20,11/03/2020,03/06/2020,84,603.1094615,184.8285468,176.6036077
B.1.1_DTA_MCC_249,71,70,3,19/03/2020,04/05/2020,46,198.4315943,15.09947066,0
B.1.pruned_DTA_MCC_286,71,62,19,23/03/2020,17/05/2020,55,583.8581833,199.9133657,91.6466991
B_DTA_MCC_56,67,57,15,06/03/2020,21/05/2020,76,600.8012191,203.1005662,233.1990682
B.1.1_DTA_MCC_253,65,65,6,20/03/2020,10/06/2020,82,276.8740825,27.58230884,0
B.1.pruned_DTA_MCC_461,65,53,8,18/03/2020,03/06/2020,77,496.8182094,152.2525428,147.116518
B.1.X_DTA_MCC_8,65,53,8,17/03/2020,04/05/2020,48,305.6304423,56.20310291,56.97509324
B.1.1_DTA_MCC_233,64,60,13,21/03/2020,16/06/2020,87,321.5789588,118.4933869,144.6665352
B.1.1_DTA_MCC_433,61,61,5,06/04/2020,03/06/2020,58,232.9988419,39.54733978,0
B.1.1_DTA_MCC_139,60,55,24,12/03/2020,17/06/2020,97,810.2318079,288.1689747,272.6909417
