,Jan_daily,Feb_daily,Mar_daily,Apr_daily
France total,24686.1290322581,26136.8965517241,16631.7225806452,6425.74
Ireland total,2548.3870967742,1965.5172413793,1387.0967741936,500
Netherlands total,1570.9677419355,1620.6896551724,967.7419354839,384
Belgium total,3854.3225806452,4120.1379310345,2775.1122580645,1035.528
