"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"737",2020-05-04,"Austria",39,15597,68623.2706506545,46142.7127439339,99863.2935215653,189.976057602963,62.7821048460566,432.263226019799,2,598,612.647474771771,489.845611077283,756.898194228909,6.91526618652035,4.72946607020552,9.66234843069418,0.672778671462456,0.560743306343927,0.787452617375673
"738",2020-05-05,"Austria",24,15621,68804.2424265772,46200.9574359569,100282.266027599,180.971775922654,58.2446920229987,418.972506033382,2,600,619.231804018512,494.254757575627,766.264787462958,6.58432924674087,4.40914649834372,9.36659323404899,0.672763818508112,0.560738836958024,0.787410530548596
"739",2020-02-18,"Sweden",0,0,84.0741739387437,31.6975186236107,174.272208744956,84.0741739387437,31.6975186236107,174.272208744956,0,0,8.40741739387437e-14,3.16975186236107e-14,1.74272208744956e-13,8.40741739387437e-14,3.16975186236107e-14,1.74272208744956e-13,2.70483537214357,2.26539544751745,3.22554647536912
"740",2020-02-19,"Sweden",0,0,168.148347877487,63.3950372472213,348.544417489911,84.0741739387437,31.6975186236107,174.272208744956,0,0,1.73426887839826e-06,6.60833731112239e-07,3.60176746698026e-06,1.73426879432409e-06,6.6083369941472e-07,3.60176729270805e-06,2.70483537214357,2.26539544751745,3.22554647536912
"741",2020-02-20,"Sweden",0,0,252.222521816231,95.092555870832,522.816626234867,84.0741739387437,31.6975186236107,174.272208744956,0,0,3.81539135592042e-05,1.45383414188214e-05,7.92388806138493e-05,3.64196446808059e-05,1.38775076877091e-05,7.5637113146869e-05,2.70483537214357,2.26539544751745,3.22554647536912
"742",2020-02-21,"Sweden",0,0,336.296695754975,126.790074494443,697.088834979823,84.0741739387437,31.6975186236107,174.272208744956,0,0,0.000295692829516332,0.000112672145781907,0.000614101323580994,0.000257538915957127,9.81338043630859e-05,0.000534862442967145,2.70483537214357,2.26539544751745,3.22554647536912
"743",2020-02-22,"Sweden",0,0,420.370869693719,158.487593118053,871.361043724778,84.0741739387437,31.6975186236107,174.272208744956,0,0,0.00122265950008256,0.000465887758119075,0.00253924594153345,0.000926966670566226,0.000353215612337168,0.00192514461795245,2.70483537214357,2.26539544751745,3.22554647536912
"744",2020-02-23,"Sweden",0,0,504.445043632462,190.185111741664,1045.63325246973,84.0741739387437,31.6975186236107,174.272208744956,0,0,0.0038422725139091,0.00146407706108501,0.00797971543716895,0.00261961301382654,0.000998189302965934,0.00544046949563551,2.70483537214357,2.26539544751745,3.22554647536912
"745",2020-02-24,"Sweden",0,0,621.319815094486,243.566917755919,1259.07375684205,116.874771462024,53.3818060142553,213.440504372313,0,0,0.00964166736212885,0.00367390495192783,0.0200240252639847,0.00579939484821976,0.00220982789084282,0.0120443098268157,2.70470498614927,2.26515541497491,3.2254967300889
"746",2020-02-25,"Sweden",0,0,760.8998903894,307.755656738857,1513.23569024917,139.580075294913,64.1887389829375,254.161933407121,0,0,0.0211552859785421,0.00806131682356661,0.0439350294099314,0.0115136186164132,0.00438741187163878,0.0239110041459467,2.70467454255906,2.26510715464981,3.22548248796949
"747",2020-02-26,"Sweden",0,0,925.22086802861,385.538453137082,1807.64299752404,164.320977639211,77.7827963982248,294.407307274867,0,0,0.0411027521301001,0.0156666545436918,0.0853468519323893,0.019947466151558,0.00760533772012515,0.041411822522458,2.70463817309453,2.26504984239011,3.22546532358742
"748",2020-02-27,"Sweden",1,1,1118.25878659423,480.186530216969,2148.28980330702,193.037918565615,94.6480770798872,340.64680578298,0,0,0.0733138098489615,0.0279728962196266,0.152131107072046,0.0322110577188614,0.0123062416759349,0.0667842551396566,2.70459531420164,2.26498356604329,3.22544454071278
"749",2020-02-28,"Sweden",5,6,1345.17371393357,595.542928011227,2540.46097996778,226.914927339348,115.356397794258,392.171176660763,0,0,0.122082652800934,0.0466781510119059,0.252993002094806,0.0487688429519729,0.0187052547922793,0.10086189502276,2.70454489572859,2.2649076337174,3.22541918491873
"750",2020-02-29,"Sweden",5,11,1612.12821783785,736.132897778672,2993.7384952976,266.954503904279,140.589969767445,453.277515329821,0,0,0.191940856586638,0.073644231684555,0.396968925262397,0.0698582037857033,0.0269660806726491,0.143975923167591,2.70448553891972,2.26482084513357,3.22538814031656
